Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,AL,usa,CT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 01:00:00,2024-01-01 00:00:00,8557.7,0.0,0.0,107.2,8664.9,8287.3,8664.9,2117.0,6992.9,0.0316,0.0397,0.46,0.5,295.9,18.4,2.54,26.5,1147.9,0.21,297.1,60.8,357.9,307.0,21.8,3.05,25.4,1108.1,0.23,308.4,58.5,367.0,696.2,62.1,8.87,37.9,2089.9,0.33,700.5,100.2,800.7,375.0,7.1,0.71,44.3,1960.9,0.16,375.4,102.8,478.2,24.65,0.0,0.0,24.65,25.67,0.0,0.0,25.67,13540.8,0.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,0.0,5588.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,2024-01-01 01:00:00,8297.7,0.0,0.0,111.0,8408.7,8037.4,8408.7,2148.7,7280.9,0.0314,0.0385,0.46,0.5,295.9,18.4,2.54,26.5,1147.9,0.21,297.1,60.8,357.9,307.1,21.7,3.03,25.5,1111.5,0.23,308.6,58.7,367.3,701.3,60.5,8.62,40.0,2170.5,0.34,705.4,104.8,810.2,379.2,7.1,0.71,44.8,1982.6,0.17,379.6,103.9,483.5,23.24,0.0,0.0,23.24,24.17,0.0,0.0,24.17,13540.8,0.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,0.0,5588.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,2024-01-01 02:00:00,8141.2,0.0,0.0,121.5,8262.7,7886.8,8262.7,2472.8,7751.0,0.0312,0.0378,0.46,0.5,295.9,18.4,2.54,26.5,1147.9,0.21,297.1,60.8,357.9,307.2,21.8,3.06,25.4,1107.2,0.23,308.7,58.4,367.1,653.7,53.4,7.57,40.0,2118.0,0.31,657.3,103.2,760.6,380.0,7.2,0.72,44.9,1986.9,0.17,380.4,104.1,484.5,23.11,0.0,0.0,23.11,24.02,0.0,0.0,24.02,13540.8,0.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,0.0,5588.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,2024-01-01 03:00:00,8105.3,0.0,0.0,122.3,8227.6,7852.3,8227.6,2482.2,7795.4,0.0312,0.0376,0.46,0.5,295.9,18.4,2.54,26.5,1147.9,0.21,297.1,60.8,357.9,307.1,21.9,3.06,25.4,1106.0,0.23,308.6,58.4,367.0,696.0,59.6,8.49,40.1,2167.2,0.33,700.1,104.8,804.9,379.9,7.2,0.72,44.9,1986.5,0.17,380.3,104.1,484.4,23.18,0.0,0.0,23.18,24.09,0.0,0.0,24.09,13540.8,0.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,0.0,5588.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,2024-01-01 04:00:00,8128.1,0.0,0.0,149.2,8277.4,7874.3,8277.4,3471.3,8734.8,0.0312,0.0377,0.46,0.51,295.9,18.4,2.54,26.5,1147.9,0.21,297.1,60.8,357.9,307.2,22.3,3.12,25.0,1094.1,0.23,308.7,57.7,366.5,710.6,63.3,9.04,38.7,2136.4,0.34,715.0,102.5,817.5,422.6,8.0,0.8,49.9,2209.8,0.18,423.1,115.8,538.9,24.06,0.0,0.0,24.06,25.0,0.0,0.0,25.0,13540.8,0.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,0.0,5588.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,2024-01-01 05:00:00,8302.0,0.0,0.0,138.0,8440.0,8041.5,8440.0,2861.1,8414.7,0.0314,0.0385,0.44,0.5,299.5,18.1,2.49,27.2,1179.9,0.21,300.7,62.5,363.2,309.2,22.1,3.09,25.5,1111.7,0.23,310.7,58.7,369.3,702.4,63.3,9.06,37.6,2085.8,0.34,706.7,99.8,806.5,408.6,7.7,0.77,48.3,2136.4,0.18,409.0,112.0,521.0,25.56,0.0,0.0,25.56,26.57,0.0,0.0,26.57,13993.6,0.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,0.0,6040.9,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,2024-01-01 06:00:00,8520.0,0.0,0.0,105.1,8625.1,8251.1,8622.0,2076.5,6995.4,0.0316,0.0395,0.46,0.5,295.8,18.4,2.54,26.5,1147.6,0.21,297.0,60.8,357.8,307.0,21.6,3.02,25.6,1114.4,0.23,308.5,58.9,367.3,458.4,35.4,5.0,29.9,1548.6,0.22,460.8,76.1,536.9,381.1,7.2,0.72,45.0,1992.5,0.17,381.5,104.4,485.9,23.47,0.0,0.0,23.47,24.43,0.0,0.0,24.43,13544.0,3.2,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,2.6,5588.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,0.6,0.0,0.0
2024-01-01 08:00:00,2024-01-01 07:00:00,8886.2,110.0,0.0,110.4,9106.6,8602.5,8971.5,2335.9,6583.4,0.0319,0.0412,0.47,0.51,291.2,18.5,2.56,25.9,1117.8,0.21,292.4,59.2,351.7,302.2,21.4,3.0,25.0,1090.7,0.22,303.7,57.6,361.3,119.8,10.1,1.44,7.1,377.0,0.06,120.5,18.3,138.8,369.2,7.0,0.7,43.6,1930.4,0.16,369.6,101.2,470.8,22.35,0.0,0.0,22.35,23.31,0.0,0.0,23.31,13354.1,135.1,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,11.8,5266.4,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,123.3,0.0,0.0
2024-01-01 09:00:00,2024-01-01 08:00:00,9052.8,110.0,0.0,96.8,9259.6,8762.2,9047.5,2251.1,5860.5,0.0321,0.042,0.5,0.52,286.6,18.9,2.63,25.0,1078.5,0.21,287.9,57.2,345.1,297.2,21.3,2.98,24.6,1067.3,0.22,298.6,56.4,355.1,82.7,5.6,0.77,6.1,305.4,0.04,83.1,15.3,98.4,384.2,7.2,0.72,45.4,2008.8,0.17,384.6,105.3,489.9,21.97,0.0,0.0,21.97,22.93,0.0,0.0,22.93,12868.9,212.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,17.3,4704.2,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,194.8,0.0,0.0
2024-01-01 10:00:00,2024-01-01 09:00:00,9014.9,110.0,0.0,86.3,9211.3,8725.9,8905.2,1720.4,5612.6,0.0321,0.0418,0.5,0.52,285.2,18.7,2.59,25.0,1079.0,0.21,286.5,57.2,343.7,296.1,20.9,2.92,24.7,1072.7,0.22,297.5,56.7,354.3,96.6,8.0,1.13,5.9,310.5,0.05,97.2,15.1,112.3,373.8,7.0,0.7,44.2,1954.6,0.16,374.2,102.4,476.7,22.17,0.0,0.0,22.17,23.14,0.0,0.0,23.14,13103.5,306.1,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,16.5,4844.8,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,289.5,0.0,0.0
2024-01-01 11:00:00,2024-01-01 10:00:00,9019.6,110.0,0.0,82.7,9212.3,8730.4,8777.9,1187.9,5629.0,0.0321,0.0419,0.49,0.51,284.8,18.1,2.51,25.3,1093.3,0.21,286.0,57.9,344.0,295.5,20.4,2.85,25.0,1083.7,0.22,296.9,57.3,354.3,109.4,9.7,1.39,6.0,328.5,0.05,110.1,15.8,125.9,382.1,7.2,0.72,45.1,1998.1,0.17,382.5,104.7,487.3,22.35,0.0,0.0,22.35,23.32,0.0,0.0,23.32,13653.4,434.4,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,19.0,5266.4,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,415.4,0.0,0.0
2024-01-01 12:00:00,2024-01-01 11:00:00,9003.2,85.6,0.0,54.5,9143.3,8714.7,8690.2,108.2,4637.0,0.032,0.0418,0.49,0.51,284.4,18.1,2.5,25.3,1091.8,0.21,285.6,57.9,343.5,294.0,19.9,2.77,25.2,1092.5,0.22,295.3,57.8,353.2,110.9,9.7,1.38,6.2,338.9,0.05,111.6,16.3,127.9,1086.9,125.2,18.21,33.5,2369.7,0.54,1095.6,104.3,1199.9,22.38,0.0,0.0,22.38,23.36,0.0,0.0,23.36,13672.1,453.0,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,21.5,5266.4,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,431.6,0.0,0.0
2024-01-01 13:00:00,2024-01-01 12:00:00,8925.7,110.0,0.0,44.3,9080.0,8640.4,8709.4,0.0,4088.1,0.032,0.0414,0.5,0.51,283.8,18.6,2.58,24.9,1073.7,0.21,285.1,56.9,342.0,293.2,19.9,2.77,25.2,1087.5,0.22,294.6,57.6,352.2,79.1,6.3,0.9,5.0,260.0,0.04,79.5,12.7,92.3,369.3,7.0,0.7,43.6,1930.8,0.16,369.6,101.2,470.8,22.17,0.0,0.0,22.17,23.13,0.0,0.0,23.13,13168.1,370.6,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,26.9,4844.8,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,343.8,0.0,0.0
2024-01-01 14:00:00,2024-01-01 13:00:00,8754.4,110.0,0.0,56.7,8921.2,8476.2,8453.1,360.5,4704.9,0.0318,0.0406,0.5,0.52,281.7,18.4,2.56,24.7,1065.8,0.21,283.0,56.5,339.5,291.7,20.0,2.79,24.9,1075.3,0.22,293.0,57.0,350.0,77.4,6.4,0.91,4.7,248.6,0.04,77.9,12.1,90.0,374.2,7.1,0.71,44.2,1956.7,0.16,374.6,102.6,477.2,22.17,0.0,0.0,22.17,23.11,0.0,0.0,23.11,13265.6,468.1,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,39.0,4844.8,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,429.1,0.0,0.0
2024-01-01 15:00:00,2024-01-01 14:00:00,8724.1,110.0,0.0,73.4,8907.4,8447.0,8406.9,1012.4,5824.6,0.0318,0.0405,0.49,0.51,283.4,18.0,2.49,25.2,1088.0,0.21,284.6,57.7,342.3,293.9,20.3,2.83,24.9,1079.3,0.22,295.2,57.1,352.3,117.0,11.1,1.59,5.8,329.9,0.06,117.8,15.6,133.4,380.8,7.2,0.72,45.0,1991.3,0.17,381.2,104.4,485.6,22.38,0.0,0.0,22.38,23.33,0.0,0.0,23.33,13719.6,500.5,0.0,3.3,0.0,0.0,1758.0,0.0,0.0,26.5,5266.4,0.0,0.0,0.0,1135.8,5055.5,0.0,0.0,0.0,474.0,0.0,0.0
