Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,AR,usa,CT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 01:00:00,2024-01-01 00:00:00,4297.2,0.0,0.0,154.8,4452.0,4163.4,4452.0,7647.9,7989.2,0.0311,0.0377,0.39,0.69,389.6,29.7,4.19,29.0,1337.2,0.26,391.7,68.9,460.6,245.8,22.7,3.24,14.2,718.8,0.15,247.4,35.7,283.1,518.2,42.4,6.02,31.6,1674.2,0.25,521.1,81.6,602.7,270.6,5.1,0.51,32.0,1414.8,0.12,270.9,74.2,345.0,17.29,0.0,0.0,17.29,17.88,0.0,0.0,17.88,4793.4,0.0,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,0.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,2024-01-01 01:00:00,4207.8,0.0,0.0,153.7,4361.5,4077.4,4361.5,7622.1,8053.9,0.031,0.037,0.39,0.69,389.6,29.7,4.19,29.0,1337.2,0.26,391.7,68.9,460.6,244.3,22.5,3.22,14.2,715.5,0.15,245.8,35.5,281.4,517.3,42.2,5.99,31.7,1677.0,0.25,520.2,81.7,601.9,273.8,5.2,0.52,32.3,1431.5,0.12,274.1,75.0,349.1,16.2,0.0,0.0,16.2,16.74,0.0,0.0,16.74,4793.4,0.0,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,0.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,2024-01-01 02:00:00,4126.0,0.0,0.0,152.6,4278.6,3998.6,4278.6,7604.1,8118.8,0.0309,0.0362,0.39,0.69,389.6,29.7,4.19,29.0,1337.2,0.26,391.7,68.9,460.6,244.2,22.5,3.22,14.1,715.1,0.15,245.8,35.5,281.3,504.2,40.2,5.68,31.8,1665.6,0.24,506.9,81.5,588.4,273.9,5.2,0.52,32.4,1432.3,0.12,274.2,75.1,349.3,16.08,0.0,0.0,16.08,16.61,0.0,0.0,16.61,4793.4,0.0,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,0.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,2024-01-01 03:00:00,4071.4,0.0,0.0,151.9,4223.4,3946.0,4223.4,7602.3,8172.3,0.0308,0.0358,0.39,0.69,389.6,29.7,4.19,29.0,1337.2,0.26,391.7,68.9,460.6,243.3,22.4,3.21,14.1,712.3,0.15,244.9,35.4,280.2,507.1,40.9,5.79,31.5,1659.5,0.24,509.9,81.0,591.0,272.5,5.1,0.51,32.2,1424.8,0.12,272.8,74.7,347.4,15.9,0.0,0.0,15.9,16.41,0.0,0.0,16.41,4793.4,0.0,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,0.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,2024-01-01 04:00:00,4085.4,0.0,0.0,152.0,4237.4,3959.5,4237.4,7615.4,8171.4,0.0308,0.0359,0.39,0.69,389.6,29.7,4.19,29.0,1337.2,0.26,391.7,68.9,460.6,242.4,22.3,3.19,14.0,709.7,0.15,243.9,35.2,279.2,525.0,43.2,6.14,31.8,1689.7,0.25,528.0,82.2,610.2,302.1,5.7,0.57,35.7,1579.9,0.13,302.5,82.8,385.3,16.26,0.0,0.0,16.26,16.78,0.0,0.0,16.78,4793.4,0.0,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,0.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,2024-01-01 05:00:00,4188.0,0.0,0.0,152.8,4340.9,4058.4,4340.9,7655.0,8107.5,0.031,0.0368,0.39,0.69,389.6,29.7,4.19,29.0,1337.2,0.26,391.7,68.9,460.6,241.4,22.2,3.18,14.0,707.0,0.15,242.9,35.1,278.1,503.1,40.4,5.72,31.4,1652.3,0.24,505.9,80.7,586.6,291.1,5.5,0.55,34.4,1522.1,0.13,291.4,79.8,371.2,17.71,0.0,0.0,17.71,18.28,0.0,0.0,18.28,4793.4,0.0,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,0.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,2024-01-01 06:00:00,4317.4,0.0,0.0,153.9,4471.3,4182.9,4469.1,7707.9,8032.2,0.0312,0.0379,0.39,0.69,389.5,29.7,4.19,29.0,1336.6,0.26,391.5,68.9,460.4,240.2,22.1,3.16,13.9,703.4,0.15,241.7,34.9,276.6,482.2,38.6,5.47,30.2,1585.9,0.23,484.8,77.5,562.3,270.1,5.1,0.51,31.9,1412.4,0.12,270.4,74.0,344.4,16.08,0.0,0.0,16.08,16.62,0.0,0.0,16.62,4795.6,2.2,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,2.2,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,2024-01-01 07:00:00,4433.7,0.0,24.8,152.3,4610.8,4294.7,4467.0,7737.1,8063.5,0.0314,0.0389,0.41,0.7,378.3,28.8,4.07,28.1,1298.3,0.25,380.3,66.9,447.2,235.9,21.7,3.11,13.7,690.5,0.15,237.4,34.3,271.7,238.5,19.6,2.78,14.7,769.4,0.12,239.8,37.6,277.4,260.8,4.9,0.49,30.8,1363.5,0.11,261.0,71.5,332.5,15.27,0.0,0.0,15.27,15.77,0.0,0.0,15.77,4937.1,143.8,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,64.9,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,78.9,0.0,0.0
2024-01-01 09:00:00,2024-01-01 08:00:00,4607.5,0.0,24.8,151.7,4783.9,4461.6,4495.8,7622.4,7920.0,0.0317,0.0405,0.42,0.7,367.6,28.0,3.95,27.3,1261.4,0.24,369.5,65.0,434.5,235.0,21.7,3.1,13.6,686.4,0.15,236.5,34.1,270.5,148.6,11.2,1.58,9.9,511.1,0.07,149.4,25.2,174.6,272.0,5.1,0.51,32.1,1422.5,0.12,272.3,74.6,346.9,15.04,0.0,0.0,15.04,15.55,0.0,0.0,15.55,5081.5,288.1,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,86.0,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,202.1,0.0,0.0
2024-01-01 10:00:00,2024-01-01 09:00:00,4750.7,0.0,24.8,153.7,4929.1,4598.9,4615.4,7629.2,7807.2,0.0319,0.0417,0.43,0.7,365.7,27.9,3.93,27.2,1255.1,0.24,367.6,64.7,432.3,236.2,21.8,3.12,13.6,690.2,0.15,237.7,34.3,272.0,172.0,12.4,1.75,12.0,607.6,0.08,172.8,30.1,202.9,267.0,5.0,0.5,31.5,1395.9,0.12,267.2,73.2,340.4,15.3,0.0,0.0,15.3,15.85,0.0,0.0,15.85,5107.1,313.8,0.0,9.2,0.0,0.0,1121.9,0.0,0.0,104.9,1813.9,0.0,0.0,0.0,190.9,1657.5,0.0,0.0,0.0,208.9,0.0,0.0
2024-01-01 11:00:00,2024-01-01 10:00:00,4782.5,0.0,24.8,156.1,4963.3,4629.4,4676.6,7588.1,7735.5,0.032,0.042,0.43,0.7,365.4,27.9,3.93,27.2,1254.2,0.24,367.3,64.6,432.0,237.9,21.9,3.14,13.8,695.5,0.15,239.4,34.6,273.9,209.4,17.3,2.46,12.6,671.9,0.1,210.6,32.7,243.3,274.7,5.2,0.52,35.1,1443.0,0.18,275.0,78.1,353.1,17.86,0.0,0.0,17.86,18.57,0.0,0.0,18.57,5110.8,286.8,0.0,11.3,0.0,0.0,1121.9,0.0,0.0,101.1,1813.9,0.0,0.0,0.0,219.4,1657.5,0.0,0.0,0.0,185.6,0.0,0.0
2024-01-01 12:00:00,2024-01-01 11:00:00,4791.4,0.0,24.8,127.0,4943.1,4637.9,4667.1,6513.5,6670.4,0.032,0.0421,0.42,0.68,366.2,27.9,3.94,27.3,1256.8,0.24,368.1,64.8,432.9,247.4,22.3,3.19,14.9,740.1,0.16,249.0,37.0,286.0,189.3,14.3,2.02,12.6,648.8,0.09,190.2,32.0,222.2,1087.3,125.2,18.21,33.5,2370.5,0.54,1096.0,104.3,1200.2,21.45,0.0,0.0,21.45,22.39,0.0,0.0,22.39,5100.0,276.0,0.0,11.3,0.0,0.0,1121.9,0.0,0.0,97.9,1813.9,0.0,0.0,0.0,219.4,1657.5,0.0,0.0,0.0,178.1,0.0,0.0
2024-01-01 13:00:00,2024-01-01 12:00:00,4787.6,0.0,12.5,126.2,4926.2,4634.2,4628.0,6470.9,6666.9,0.032,0.0421,0.43,0.67,364.6,27.8,3.92,27.1,1251.4,0.24,366.5,64.5,431.0,255.0,23.1,3.31,15.2,757.4,0.16,256.6,37.8,294.4,173.8,12.1,1.69,12.6,629.5,0.08,174.6,31.3,206.0,1084.8,124.9,18.17,33.4,2365.1,0.54,1093.5,104.0,1197.5,21.58,0.0,0.0,21.58,22.53,0.0,0.0,22.53,5122.2,298.2,0.0,11.3,0.0,0.0,1121.9,0.0,0.0,111.7,1813.9,0.0,0.0,0.0,219.4,1657.5,0.0,0.0,0.0,186.5,0.0,0.0
2024-01-01 14:00:00,2024-01-01 13:00:00,4719.8,0.0,24.8,120.1,4864.7,4569.3,4480.3,6060.5,6404.2,0.0319,0.0415,0.44,0.68,358.6,27.3,3.85,26.7,1230.7,0.24,360.5,63.4,423.9,239.2,21.1,3.01,14.9,730.1,0.15,240.7,36.7,277.4,143.8,9.4,1.31,10.9,539.5,0.07,144.4,27.0,171.4,374.5,7.1,0.71,44.2,1958.4,0.16,374.9,102.6,477.6,21.22,0.0,0.0,21.22,22.14,0.0,0.0,22.14,5208.3,384.3,0.0,11.3,0.0,0.0,1121.9,0.0,0.0,178.2,1813.9,0.0,0.0,0.0,219.4,1657.5,0.0,0.0,0.0,206.2,0.0,0.0
2024-01-01 15:00:00,2024-01-01 14:00:00,4644.4,0.0,24.8,129.8,4799.0,4496.9,4415.5,6408.0,6816.5,0.0317,0.0408,0.44,0.68,358.7,27.4,3.85,26.7,1230.9,0.24,360.5,63.4,424.0,238.7,21.3,3.05,14.6,719.6,0.15,240.1,36.1,276.3,178.2,13.9,1.96,11.5,599.4,0.08,179.2,29.4,208.6,381.0,7.2,0.72,45.0,1992.0,0.17,381.4,104.4,485.8,21.23,0.0,0.0,21.23,22.12,0.0,0.0,22.12,5207.5,383.5,0.0,11.3,0.0,0.0,1121.9,0.0,0.0,174.3,1813.9,0.0,0.0,0.0,219.4,1657.5,0.0,0.0,0.0,209.2,0.0,0.0
