Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,AZ,usa,MT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 02:00:00,2024-01-01 00:00:00,8193.0,0.0,0.0,210.1,8403.1,7934.1,8099.4,6570.5,6880.0,0.0316,0.0409,0.57,0.54,354.6,35.1,5.06,19.8,962.7,0.26,357.0,48.6,405.6,372.2,35.4,5.08,20.7,1053.5,0.24,374.6,52.2,426.8,368.3,7.1,0.72,43.3,1919.8,0.16,368.8,100.6,469.3,406.7,7.7,0.77,48.0,2126.7,0.18,407.2,111.5,518.6,33.71,0.0,0.0,33.71,35.15,0.0,0.0,35.15,8712.6,303.7,456.1,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1371.3,0.0,0.0,0.0,585.2,3589.8,0.0,0.0,0.0,0.0,303.7,0.0
2024-01-01 03:00:00,2024-01-01 01:00:00,8191.5,0.0,0.0,183.1,8374.6,7932.0,8077.7,6275.4,5595.5,0.0317,0.0411,0.51,0.51,401.5,39.8,5.73,22.5,1090.1,0.29,404.2,55.0,459.2,402.8,38.7,5.56,22.1,1127.8,0.26,405.4,55.8,461.2,373.1,7.2,0.73,43.9,1945.2,0.16,373.6,101.9,475.5,406.8,7.7,0.77,48.1,2127.1,0.18,407.2,111.5,518.7,33.71,0.0,0.0,33.71,35.16,0.0,0.0,35.16,7694.8,296.9,0.0,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1371.3,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,0.0,296.9,0.0
2024-01-01 04:00:00,2024-01-01 02:00:00,8070.2,0.0,0.0,178.5,8248.8,7815.7,7974.6,6022.1,5451.3,0.0315,0.0405,0.51,0.5,402.3,39.9,5.74,22.5,1092.5,0.29,405.1,55.1,460.2,411.4,39.6,5.68,22.5,1151.6,0.26,414.2,56.9,471.1,384.8,7.3,0.74,45.4,2009.2,0.17,385.2,105.3,490.5,425.0,8.0,0.8,50.2,2222.6,0.19,425.5,116.5,542.0,33.72,0.0,0.0,33.72,35.14,0.0,0.0,35.14,7677.9,274.2,5.8,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1371.3,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,0.0,274.2,0.0
2024-01-01 05:00:00,2024-01-01 03:00:00,8058.3,0.0,0.0,174.4,8232.8,7804.2,7955.8,5975.8,5313.3,0.0315,0.0404,0.52,0.5,402.5,40.3,5.81,22.2,1078.7,0.29,405.2,54.4,459.6,415.9,40.3,5.79,22.5,1154.9,0.26,418.7,57.0,475.7,392.5,7.4,0.74,46.3,2051.6,0.17,393.0,107.5,500.5,505.1,9.5,0.95,59.7,2641.3,0.22,505.7,138.4,644.1,33.71,0.0,0.0,33.71,35.13,0.0,0.0,35.13,7570.3,276.9,0.0,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1266.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,0.0,276.9,0.0
2024-01-01 06:00:00,2024-01-01 04:00:00,8110.5,0.0,0.0,165.5,8276.0,7854.3,7991.0,5853.3,5016.6,0.0316,0.0406,0.53,0.51,402.0,40.9,5.9,21.7,1058.1,0.29,404.8,53.3,458.1,416.1,41.1,5.91,22.0,1131.0,0.27,419.0,55.7,474.7,392.4,7.4,0.74,46.3,2051.0,0.17,392.9,107.5,500.4,505.2,9.5,0.95,59.7,2641.9,0.22,505.8,138.5,644.3,33.44,0.0,0.0,33.44,34.87,0.0,0.0,34.87,7439.3,285.1,0.0,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1127.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,0.0,285.1,0.0
2024-01-01 07:00:00,2024-01-01 05:00:00,8259.3,0.0,0.0,156.5,8415.7,7997.2,8137.2,5685.4,4702.5,0.0317,0.0413,0.53,0.51,402.3,40.9,5.9,21.7,1059.0,0.29,405.2,53.3,458.5,418.7,41.5,5.98,22.0,1132.8,0.27,421.5,55.8,477.4,389.2,7.4,0.74,45.9,2033.4,0.17,389.6,106.6,496.1,457.6,8.6,0.86,54.1,2392.9,0.2,458.1,125.4,583.5,33.63,0.0,0.0,33.63,35.08,0.0,0.0,35.08,7432.8,278.6,0.0,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1127.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,0.0,278.6,0.0
2024-01-01 08:00:00,2024-01-01 06:00:00,8546.1,0.0,0.0,144.5,8690.6,8272.4,8404.1,5284.7,4145.6,0.032,0.0427,0.52,0.5,401.4,40.4,5.82,22.0,1070.6,0.29,404.2,54.0,458.2,421.4,41.4,5.96,22.4,1150.7,0.27,424.2,56.8,481.0,386.6,7.3,0.74,45.6,2019.7,0.17,387.0,105.8,492.9,458.3,8.6,0.86,54.1,2396.3,0.2,458.8,125.6,584.4,33.71,0.0,0.0,33.71,35.22,0.0,0.0,35.22,7551.6,286.4,15.8,23.9,0.0,0.0,2382.7,0.0,0.0,0.0,1222.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,0.0,286.4,0.0
2024-01-01 09:00:00,2024-01-01 07:00:00,8668.3,0.0,0.0,161.4,8829.7,8389.4,7877.4,6033.9,4918.4,0.0322,0.0433,0.6,0.57,367.3,39.1,5.65,18.5,914.2,0.27,370.0,45.8,415.8,385.0,39.5,5.71,19.1,998.6,0.25,387.7,49.0,436.7,386.4,8.2,0.87,44.8,1990.8,0.17,386.8,104.2,491.0,1490.7,171.7,24.97,45.9,3250.1,0.74,1502.6,143.0,1645.6,33.62,0.0,0.0,33.62,35.15,0.0,0.0,35.15,7714.2,952.2,0.0,23.9,0.0,0.0,2382.7,0.0,7.1,234.4,735.4,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,420.9,289.9,0.0
2024-01-01 10:00:00,2024-01-01 08:00:00,8738.5,0.0,127.0,112.6,8978.0,8456.5,-1804.3,680.2,7449.1,0.0323,0.0436,0.92,0.86,73.6,7.7,1.11,5.1,190.8,0.08,74.2,10.8,84.9,122.2,12.6,1.82,7.6,319.0,0.12,123.0,17.1,140.1,286.7,5.4,0.55,33.8,1497.7,0.12,287.0,78.5,365.5,1120.4,129.0,18.77,34.5,2442.7,0.56,1129.3,107.5,1236.8,25.5,0.0,0.0,25.5,26.66,0.0,0.0,26.66,15747.0,10782.3,0.0,23.9,0.0,0.0,953.1,0.0,118.9,662.2,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,9717.9,283.3,0.0
2024-01-01 11:00:00,2024-01-01 09:00:00,8601.0,694.7,178.6,164.1,9638.3,8324.9,-5244.3,1489.8,11698.8,0.0321,0.043,0.93,0.93,58.4,6.1,0.88,4.0,151.4,0.07,58.8,8.5,67.4,44.2,3.6,0.51,4.7,148.5,0.07,44.4,9.2,53.6,214.8,4.3,0.44,25.1,1115.2,0.09,215.0,58.4,273.5,1062.2,122.3,17.79,32.7,2315.8,0.53,1070.7,101.9,1172.5,22.59,0.0,0.0,22.59,23.6,0.0,0.0,23.6,19847.3,14882.6,0.0,23.9,0.0,0.0,953.1,0.0,168.9,757.4,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,13681.9,274.5,0.0
2024-01-01 12:00:00,2024-01-01 10:00:00,8517.4,562.4,178.6,148.9,9407.2,8244.9,-4751.1,1099.2,10815.0,0.032,0.0426,0.93,0.93,60.6,6.3,0.91,4.2,157.2,0.07,61.1,8.9,69.9,45.2,3.7,0.52,4.9,151.7,0.07,45.5,9.5,54.9,217.1,4.2,0.43,25.5,1131.4,0.09,217.3,59.3,276.6,1135.8,130.8,19.03,35.0,2476.4,0.56,1144.9,108.9,1253.9,23.25,0.0,0.0,23.25,24.29,0.0,0.0,24.29,19123.0,14158.3,0.0,23.9,0.0,0.0,953.1,0.0,163.2,723.6,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,13024.9,246.6,0.0
2024-01-01 13:00:00,2024-01-01 11:00:00,8460.7,0.0,178.6,132.0,8771.3,8190.4,-4247.3,573.9,9785.8,0.032,0.0423,0.93,0.93,64.5,6.7,0.97,4.4,167.1,0.07,64.9,9.4,74.4,46.6,3.8,0.54,5.2,155.7,0.08,46.8,9.8,56.7,219.0,4.2,0.43,25.8,1141.6,0.1,219.3,59.8,279.1,1093.0,125.9,18.31,33.7,2383.0,0.54,1101.7,104.8,1206.5,23.65,0.0,0.0,23.65,24.69,0.0,0.0,24.69,17983.3,13018.6,0.0,23.9,0.0,0.0,953.1,0.0,151.4,682.8,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,11950.8,233.6,0.0
2024-01-01 14:00:00,2024-01-01 12:00:00,8373.7,0.0,178.6,129.6,8681.9,8107.0,-4036.5,565.5,9566.7,0.0318,0.0419,0.93,0.93,65.6,6.8,0.99,4.5,169.9,0.07,66.0,9.6,75.6,46.9,3.9,0.55,5.2,157.0,0.08,47.2,9.9,57.1,219.8,4.3,0.43,25.9,1145.9,0.1,220.1,60.0,280.1,1157.6,133.3,19.39,35.7,2524.0,0.57,1166.9,111.0,1278.0,23.66,0.0,0.0,23.66,24.69,0.0,0.0,24.69,17683.0,12718.4,0.0,23.9,0.0,0.0,953.1,0.0,148.1,684.3,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,11656.9,229.1,0.0
2024-01-01 15:00:00,2024-01-01 13:00:00,8240.3,456.1,178.6,138.0,9012.9,7979.0,-4545.1,628.3,10138.1,0.0317,0.0412,0.93,0.93,62.6,6.5,0.94,4.3,162.2,0.07,63.1,9.2,72.2,46.1,3.7,0.53,5.1,155.6,0.07,46.4,9.7,56.1,231.5,4.5,0.45,27.3,1207.5,0.1,231.8,63.3,295.1,928.9,107.0,15.56,28.6,2025.3,0.46,936.3,89.1,1025.4,23.61,0.0,0.0,23.61,24.62,0.0,0.0,24.62,18522.6,13558.0,0.0,23.9,0.0,0.0,953.1,0.0,155.2,884.6,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,12290.1,228.1,0.0
2024-01-01 16:00:00,2024-01-01 14:00:00,8170.1,694.7,178.6,156.4,9199.7,7911.7,-5151.2,1126.1,11242.0,0.0316,0.0409,0.93,0.93,60.0,6.3,0.91,4.1,155.6,0.07,60.5,8.8,69.2,45.1,3.6,0.51,4.9,153.1,0.07,45.4,9.5,54.8,210.5,4.1,0.42,25.0,1097.0,0.1,210.7,57.7,268.4,369.8,7.0,0.7,43.7,1933.9,0.16,370.2,101.4,471.6,21.59,0.0,0.0,21.59,22.51,0.0,0.0,22.51,19315.6,14351.0,0.0,23.9,0.0,0.0,953.1,0.0,161.5,900.8,367.7,0.0,0.0,0.0,30.3,3589.8,0.0,0.0,0.0,13056.2,232.5,0.0
