Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,CO,usa,MT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 02:00:00,2024-01-01 00:00:00,7042.6,0.0,0.0,93.4,7136.0,6798.9,3796.2,3153.9,4228.6,0.0346,0.0504,0.43,0.45,439.3,40.7,5.83,22.6,1271.9,0.21,442.1,60.6,502.6,471.3,46.2,6.64,22.0,1284.5,0.23,474.5,60.3,534.7,454.0,20.9,2.77,42.4,1982.4,0.21,455.4,101.6,557.0,1348.4,155.3,22.59,41.5,2939.9,0.67,1359.2,129.3,1488.6,30.78,0.0,0.0,30.78,32.42,0.0,0.0,32.42,8210.7,3339.8,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.0,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,3339.8,0.0
2024-01-01 03:00:00,2024-01-01 01:00:00,6886.2,0.0,0.0,90.9,6977.1,6650.0,4128.7,3079.7,3821.9,0.0343,0.0493,0.39,0.42,467.2,43.3,6.2,24.1,1352.9,0.23,470.2,64.4,534.7,493.5,48.5,6.99,22.8,1338.1,0.24,496.8,62.7,559.6,472.1,23.9,3.2,42.2,1994.7,0.22,473.7,101.7,575.4,1346.9,155.1,22.56,41.5,2936.7,0.67,1357.7,129.2,1486.9,30.78,0.0,0.0,30.78,32.38,0.0,0.0,32.38,7719.3,2848.4,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.0,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,2848.4,0.0
2024-01-01 04:00:00,2024-01-01 02:00:00,6986.7,0.0,0.0,91.7,7078.5,6745.2,4655.1,3603.2,3819.0,0.0346,0.0501,0.35,0.41,494.5,45.8,6.56,25.5,1431.8,0.24,497.6,68.2,565.8,511.0,50.6,7.29,23.3,1375.4,0.25,514.5,64.4,578.9,462.0,23.1,3.09,41.5,1959.9,0.21,463.5,100.0,563.5,429.4,8.1,0.81,50.7,2245.2,0.19,429.8,117.7,547.5,31.07,0.0,0.0,31.07,32.71,0.0,0.0,32.71,7294.2,2423.4,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.0,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,2423.4,0.0
2024-01-01 05:00:00,2024-01-01 03:00:00,6924.4,0.0,0.0,89.1,7013.6,6686.0,4830.9,3661.0,3701.0,0.0344,0.0497,0.33,0.4,511.3,47.3,6.78,26.3,1480.6,0.25,514.6,70.5,585.1,520.8,51.6,7.43,23.7,1401.7,0.25,524.3,65.6,589.9,463.7,23.6,3.16,41.3,1955.2,0.21,465.3,99.7,565.0,510.1,9.6,0.96,60.3,2667.0,0.22,510.6,139.8,650.4,31.06,0.0,0.0,31.06,32.69,0.0,0.0,32.69,7053.6,2182.7,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.0,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,2182.7,0.0
2024-01-01 06:00:00,2024-01-01 04:00:00,6906.2,0.0,0.0,86.2,6992.4,6668.7,4973.3,3611.3,3508.9,0.0344,0.0496,0.32,0.39,523.5,48.5,6.94,27.0,1515.8,0.25,526.8,72.2,599.0,528.5,52.3,7.53,24.1,1422.4,0.26,532.1,66.6,598.6,470.6,23.1,3.09,42.7,2009.3,0.21,472.2,102.6,574.8,510.0,9.6,0.96,60.2,2666.6,0.22,510.5,139.8,650.3,30.96,0.0,0.0,30.96,32.58,0.0,0.0,32.58,6890.0,2019.1,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.0,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,2019.1,0.0
2024-01-01 07:00:00,2024-01-01 05:00:00,6921.4,0.0,0.0,86.2,7007.6,6683.3,5222.3,3882.8,3531.4,0.0344,0.0496,0.29,0.37,541.8,50.2,7.19,27.9,1569.0,0.26,545.3,74.7,620.0,545.5,54.2,7.81,24.7,1461.1,0.27,549.2,68.3,617.5,472.3,23.2,3.09,42.9,2017.6,0.21,473.8,103.0,576.9,461.6,8.7,0.87,54.5,2413.8,0.2,462.1,126.5,588.6,31.13,0.0,0.0,31.13,32.76,0.0,0.0,32.76,6656.2,1785.4,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.0,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,1785.4,0.0
2024-01-01 08:00:00,2024-01-01 06:00:00,7044.9,0.0,0.0,83.2,7128.1,6800.9,5555.6,4202.7,3518.0,0.0346,0.0504,0.27,0.35,559.8,51.8,7.42,28.8,1620.8,0.27,563.3,77.2,640.5,567.9,56.7,8.17,25.4,1512.8,0.28,571.8,70.6,642.4,473.9,24.1,3.23,42.3,1998.3,0.22,475.5,101.9,577.4,462.0,8.7,0.87,54.6,2415.9,0.2,462.5,126.6,589.1,31.21,0.0,0.0,31.21,32.87,0.0,0.0,32.87,6443.3,1572.4,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,0.6,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.1,1571.8,0.0
2024-01-01 09:00:00,2024-01-01 07:00:00,6993.6,0.0,0.0,81.3,7074.9,6752.3,5290.5,3656.5,3236.9,0.0345,0.05,0.29,0.36,541.9,50.2,7.19,27.9,1569.2,0.26,545.4,74.7,620.1,552.3,54.9,7.91,25.0,1479.6,0.27,556.1,69.1,625.3,442.7,20.9,2.77,40.9,1917.2,0.2,444.1,98.1,542.2,1501.3,172.9,25.15,46.3,3273.2,0.74,1513.3,144.0,1657.3,31.13,0.0,0.0,31.13,32.77,0.0,0.0,32.77,6655.2,1784.4,0.0,22.1,0.0,0.0,2653.3,0.0,0.0,122.6,2065.7,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,140.4,1521.4,0.0
2024-01-01 10:00:00,2024-01-01 08:00:00,7093.8,0.0,0.0,38.1,7131.9,6847.5,5148.7,3138.5,1519.3,0.0347,0.0507,0.39,0.48,459.2,42.0,6.01,24.2,1346.7,0.22,462.1,64.4,526.5,404.3,37.1,5.31,21.1,1180.5,0.2,406.8,56.4,463.2,500.6,41.4,5.88,30.1,1604.9,0.24,503.5,78.0,581.5,1128.8,130.0,18.91,34.8,2461.0,0.56,1137.8,108.3,1246.1,25.77,0.0,0.0,25.77,27.15,0.0,0.0,27.15,5512.8,1983.2,0.0,22.1,0.0,0.0,1821.5,0.0,0.0,219.7,1556.1,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,511.4,1252.1,0.0
2024-01-01 11:00:00,2024-01-01 09:00:00,7154.8,3.9,479.5,47.6,7685.9,6905.4,5551.9,4520.0,1540.7,0.0349,0.0512,0.49,0.54,349.8,29.2,4.15,21.0,1113.9,0.17,351.8,54.2,406.0,372.0,35.1,5.04,18.6,1055.0,0.18,374.4,50.0,424.4,486.5,42.4,6.05,27.3,1491.7,0.23,489.4,71.8,561.2,1071.3,123.4,17.95,33.0,2335.8,0.53,1079.9,102.8,1182.7,24.46,0.0,0.0,24.46,25.78,0.0,0.0,25.78,4706.6,2133.9,0.0,22.1,0.0,0.0,1061.3,0.0,0.0,316.6,1359.5,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,689.6,1127.7,0.0
2024-01-01 12:00:00,2024-01-01 10:00:00,7181.2,1.6,0.0,45.5,7228.2,6930.4,4986.2,4035.7,1818.8,0.0349,0.0514,0.48,0.53,345.0,27.7,3.93,21.7,1132.2,0.16,346.9,55.4,402.3,355.0,31.5,4.5,19.6,1070.8,0.17,357.2,51.5,408.7,200.1,8.7,1.14,19.1,889.1,0.09,200.7,45.7,246.4,1146.3,132.0,19.2,35.3,2499.3,0.57,1155.5,110.0,1265.5,24.96,0.0,0.0,24.96,26.31,0.0,0.0,26.31,5011.3,2242.0,0.0,22.1,0.0,0.0,1061.3,0.0,0.0,348.0,1556.1,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,761.8,1132.2,0.0
2024-01-01 13:00:00,2024-01-01 11:00:00,7177.0,0.0,0.0,42.8,7219.8,6926.5,5079.8,3704.8,1800.4,0.0349,0.0513,0.43,0.49,405.6,35.4,5.05,22.9,1242.7,0.19,408.1,60.0,468.0,398.4,36.6,5.23,20.9,1164.2,0.19,401.0,55.6,456.6,191.2,7.4,0.95,19.2,879.9,0.09,191.7,45.4,237.1,1121.2,129.1,18.78,34.5,2444.5,0.56,1130.2,107.5,1237.7,25.1,0.0,0.0,25.1,26.46,0.0,0.0,26.46,5315.4,2140.0,0.0,22.1,0.0,0.0,1467.3,0.0,0.0,341.5,1556.1,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,798.9,999.6,0.0
2024-01-01 14:00:00,2024-01-01 12:00:00,7215.9,0.0,0.0,44.9,7260.8,6963.4,5140.3,3889.9,1927.6,0.035,0.0516,0.43,0.49,407.4,35.6,5.07,23.0,1247.8,0.2,409.9,60.2,470.1,397.0,36.4,5.21,20.8,1160.9,0.19,399.5,55.5,454.9,200.9,7.2,0.91,20.6,941.3,0.09,201.4,48.7,250.1,1169.5,134.7,19.59,36.0,2549.8,0.58,1178.8,112.2,1291.0,25.1,0.0,0.0,25.1,26.47,0.0,0.0,26.47,5298.4,2120.5,0.0,22.1,0.0,0.0,1469.9,0.0,0.0,367.9,1556.1,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,907.2,845.4,0.0
2024-01-01 15:00:00,2024-01-01 13:00:00,7186.2,0.0,0.0,46.3,7232.5,6935.1,5209.2,4119.5,2032.7,0.0349,0.0514,0.42,0.49,408.0,35.3,5.03,23.3,1259.7,0.2,410.5,60.9,471.4,396.0,36.3,5.19,20.8,1159.5,0.19,398.5,55.4,453.9,205.8,8.0,1.03,20.6,945.3,0.09,206.4,48.8,255.1,938.8,108.1,15.73,28.9,2046.9,0.47,946.3,90.0,1036.4,25.03,0.0,0.0,25.03,26.38,0.0,0.0,26.38,5145.7,2023.3,0.0,22.1,0.0,0.0,1414.4,0.0,0.0,349.7,1556.1,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,974.3,699.3,0.0
2024-01-01 16:00:00,2024-01-01 14:00:00,7206.9,3.9,479.5,49.8,7740.1,6954.7,5733.0,4865.9,1705.6,0.035,0.0516,0.47,0.52,359.5,30.0,4.26,21.6,1144.7,0.17,361.5,55.7,417.3,397.9,38.1,5.48,19.4,1111.0,0.2,400.5,52.6,453.1,322.8,21.8,3.04,23.8,1189.0,0.15,324.3,59.3,383.6,374.0,7.0,0.7,44.2,1955.6,0.16,374.4,102.5,476.9,23.57,0.0,0.0,23.57,24.85,0.0,0.0,24.85,4579.8,2007.1,0.0,22.1,0.0,0.0,1061.3,0.0,0.0,451.7,1359.5,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,991.4,564.0,0.0
