Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,ID,usa,MT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 02:00:00,2024-01-01 00:00:00,3046.8,0.0,0.0,62.1,3108.9,2942.0,2827.9,3293.7,1631.7,0.0344,0.0501,0.82,0.51,62.8,1.2,0.12,8.3,329.5,0.03,62.9,18.2,81.0,497.5,54.9,7.97,17.9,1160.4,0.25,501.3,52.5,553.9,422.2,12.5,1.5,45.8,2064.1,0.19,423.0,107.3,530.3,1348.0,155.2,22.58,41.5,2939.0,0.67,1358.8,129.3,1488.1,32.49,0.0,0.0,32.49,34.2,0.0,0.0,34.2,1447.0,281.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,865.6,0.0,0.0,0.0,0.0,0.0,281.0,0.0
2024-01-01 03:00:00,2024-01-01 01:00:00,2870.7,0.0,0.0,55.6,2926.3,2774.4,2663.3,3021.3,1307.8,0.0335,0.0472,0.79,0.5,74.9,1.4,0.14,9.9,393.1,0.04,75.0,21.7,96.7,511.0,56.3,8.17,18.4,1194.8,0.25,515.0,54.1,569.1,410.0,12.0,1.43,44.6,2009.5,0.18,410.7,104.5,515.3,1343.9,154.8,22.51,41.4,2930.0,0.67,1354.6,128.9,1483.5,32.48,0.0,0.0,32.48,34.09,0.0,0.0,34.09,1212.9,263.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,0.0,263.0,0.0
2024-01-01 04:00:00,2024-01-01 02:00:00,2807.2,0.0,0.0,45.5,2852.8,2713.9,2609.0,2495.0,835.8,0.0332,0.0461,0.79,0.56,76.1,1.4,0.14,10.1,399.5,0.04,76.2,22.0,98.2,444.0,48.6,7.04,16.4,1049.6,0.22,447.3,47.8,495.1,405.8,12.2,1.46,43.9,1979.6,0.18,406.6,102.9,509.5,1379.9,158.9,23.11,42.5,3008.5,0.68,1390.9,132.4,1523.3,32.48,0.0,0.0,32.48,34.06,0.0,0.0,34.06,1193.6,243.7,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,0.0,243.7,0.0
2024-01-01 05:00:00,2024-01-01 03:00:00,2778.6,0.0,0.0,44.7,2823.4,2686.7,2603.2,2468.6,815.3,0.0331,0.0456,0.78,0.53,77.7,1.5,0.15,10.3,407.5,0.04,77.8,22.5,100.2,475.4,52.1,7.56,17.4,1119.7,0.24,479.0,50.9,529.9,404.4,12.4,1.5,43.4,1963.3,0.18,405.2,102.0,507.2,1341.7,154.5,22.47,41.3,2925.3,0.67,1352.5,128.7,1481.2,32.48,0.0,0.0,32.48,34.04,0.0,0.0,34.04,1170.0,220.2,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,0.0,220.2,0.0
2024-01-01 06:00:00,2024-01-01 04:00:00,2773.6,0.0,0.0,42.9,2816.5,2681.9,2620.0,2463.6,793.4,0.0331,0.0455,0.78,0.54,79.3,1.5,0.15,10.5,415.9,0.04,79.4,22.9,102.3,467.3,51.2,7.42,17.2,1102.8,0.23,470.9,50.1,521.0,409.4,12.5,1.52,44.0,1988.2,0.18,410.2,103.3,513.5,1341.6,154.5,22.47,41.3,2925.1,0.67,1352.3,128.7,1481.0,32.49,0.0,0.0,32.49,34.04,0.0,0.0,34.04,1146.4,196.5,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,0.0,196.5,0.0
2024-01-01 07:00:00,2024-01-01 05:00:00,2815.2,0.0,0.0,44.9,2860.1,2721.5,2676.8,2505.2,778.2,0.0333,0.0462,0.77,0.56,80.2,1.5,0.15,10.6,420.8,0.04,80.3,23.2,103.5,446.6,48.8,7.08,16.5,1056.6,0.22,450.0,48.1,498.1,410.0,12.6,1.53,44.0,1988.0,0.18,410.8,103.3,514.0,460.0,8.7,0.87,54.3,2405.2,0.2,460.5,126.1,586.5,32.49,0.0,0.0,32.49,34.06,0.0,0.0,34.06,1133.2,183.3,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,0.0,183.3,0.0
2024-01-01 08:00:00,2024-01-01 06:00:00,2915.1,0.0,0.0,25.9,2941.0,2816.8,2783.7,1397.4,412.0,0.0337,0.0479,0.87,0.69,46.5,0.9,0.09,6.2,243.8,0.02,46.5,13.4,60.0,299.4,32.0,4.63,11.9,732.9,0.15,301.7,33.8,335.5,410.3,12.7,1.54,44.0,1989.0,0.18,411.1,103.3,514.4,1297.8,140.9,20.42,47.7,3100.5,0.64,1307.6,140.3,1447.9,32.5,0.0,0.0,32.5,34.14,0.0,0.0,34.14,1955.7,157.3,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,256.2,0.0,0.0,10.2,1498.0,0.0,0.0,0.0,0.0,0.0,157.3,0.0
2024-01-01 09:00:00,2024-01-01 07:00:00,3010.7,0.0,0.0,48.9,3059.6,2907.7,2928.3,2725.0,746.6,0.0342,0.0494,0.76,0.59,84.1,1.6,0.16,11.2,441.0,0.04,84.1,24.3,108.5,409.4,44.7,6.49,15.2,969.3,0.2,412.5,44.1,456.6,396.7,12.2,1.47,42.6,1925.3,0.18,397.4,100.0,497.4,1500.3,172.8,25.13,46.2,3271.1,0.74,1512.3,143.9,1656.3,32.49,0.0,0.0,32.49,34.18,0.0,0.0,34.18,1081.2,131.3,0.0,33.9,0.0,0.0,0.0,0.0,0.0,1.7,256.2,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,0.0,129.7,0.0
2024-01-01 10:00:00,2024-01-01 08:00:00,3119.3,0.0,0.0,109.5,3228.8,3010.8,3062.8,5430.8,3189.8,0.0348,0.0512,0.87,0.51,46.0,0.9,0.09,6.8,242.2,0.03,46.1,14.0,60.1,454.1,47.7,6.9,18.5,1135.7,0.22,457.4,52.4,509.8,328.7,13.3,1.72,32.4,1492.9,0.15,329.5,76.9,406.4,1129.3,130.1,18.92,34.8,2462.3,0.56,1138.4,108.3,1246.7,27.49,0.0,0.0,27.49,28.99,0.0,0.0,28.99,987.8,166.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,15.5,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,52.1,98.5,0.0
2024-01-01 11:00:00,2024-01-01 09:00:00,3153.9,0.0,0.0,103.7,3257.6,3043.6,3009.3,4658.9,2471.3,0.035,0.0518,0.88,0.73,42.5,0.8,0.08,6.3,223.5,0.02,42.5,12.9,55.4,169.0,12.3,1.73,12.2,595.9,0.08,169.9,30.0,199.9,226.5,7.4,0.91,23.9,1085.5,0.1,227.0,56.3,283.3,1072.1,123.5,17.96,33.0,2337.4,0.53,1080.7,102.8,1183.5,25.79,0.0,0.0,25.79,27.21,0.0,0.0,27.21,1070.0,248.3,0.0,33.9,0.0,0.0,0.0,0.0,0.0,60.7,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,128.2,59.3,0.0
2024-01-01 12:00:00,2024-01-01 10:00:00,3142.7,0.0,0.0,79.8,3222.5,3033.0,2996.2,3601.9,1427.4,0.0349,0.0517,0.88,0.7,43.4,0.8,0.08,6.4,228.2,0.02,43.4,13.2,56.6,209.6,17.9,2.55,12.6,655.6,0.1,210.9,32.2,243.0,201.6,6.2,0.75,21.7,979.1,0.09,202.0,50.9,252.9,1146.7,132.1,19.21,35.3,2500.2,0.57,1155.9,110.0,1265.9,26.56,0.0,0.0,26.56,28.01,0.0,0.0,28.01,1048.0,226.3,0.0,33.9,0.0,0.0,0.0,0.0,0.0,61.9,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,127.9,36.6,0.0
2024-01-01 13:00:00,2024-01-01 11:00:00,3113.8,0.0,0.0,72.5,3186.2,3005.4,2978.6,3268.4,1111.6,0.0348,0.0513,0.88,0.71,44.1,0.8,0.08,6.5,232.4,0.03,44.2,13.4,57.6,217.8,19.4,2.77,12.3,655.1,0.11,219.2,31.9,251.0,196.2,5.6,0.67,21.4,964.6,0.09,196.5,50.2,246.7,1121.1,129.1,18.78,34.5,2444.4,0.56,1130.1,107.5,1237.7,26.71,0.0,0.0,26.71,28.16,0.0,0.0,28.16,1029.4,207.7,0.0,33.9,0.0,0.0,0.0,0.0,0.0,66.7,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,109.1,31.8,0.0
2024-01-01 14:00:00,2024-01-01 12:00:00,3056.3,0.0,0.0,74.2,3130.6,2950.8,2927.4,3319.4,1213.7,0.0345,0.0503,0.87,0.69,44.3,0.8,0.08,6.5,233.4,0.03,44.4,13.5,57.9,234.7,20.9,2.99,13.2,704.9,0.12,236.1,34.3,270.4,198.0,5.1,0.59,22.1,990.7,0.09,198.3,51.7,249.9,1168.0,134.5,19.56,36.0,2546.4,0.58,1177.3,112.0,1289.3,26.71,0.0,0.0,26.71,28.13,0.0,0.0,28.13,1024.9,203.2,0.0,33.9,0.0,0.0,0.0,0.0,0.0,66.3,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,104.2,32.7,0.0
2024-01-01 15:00:00,2024-01-01 13:00:00,3004.1,0.0,0.0,77.9,3081.9,2901.1,2813.1,3355.0,1363.7,0.0343,0.0495,0.88,0.73,41.7,0.8,0.08,6.1,219.3,0.02,41.7,12.7,54.4,178.3,13.8,1.95,12.1,601.9,0.09,179.3,30.0,209.3,198.2,6.0,0.73,21.3,964.0,0.09,198.6,50.1,248.7,937.0,107.9,15.7,28.9,2042.9,0.46,944.5,89.9,1034.4,26.63,0.0,0.0,26.63,28.02,0.0,0.0,28.02,1090.6,268.9,0.0,33.9,0.0,0.0,0.0,0.0,0.0,101.9,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,118.4,48.5,0.0
2024-01-01 16:00:00,2024-01-01 14:00:00,2945.7,0.0,0.0,107.8,3053.5,2845.5,2753.6,4691.7,2759.9,0.034,0.0486,0.89,0.78,40.5,0.8,0.08,6.0,213.2,0.02,40.6,12.3,52.9,125.5,8.1,1.13,10.1,474.2,0.06,126.1,24.2,150.3,189.5,4.9,0.56,21.2,949.3,0.08,189.8,49.5,239.3,372.9,7.0,0.7,44.0,1949.6,0.16,373.3,102.2,475.4,24.71,0.0,0.0,24.71,25.98,0.0,0.0,25.98,1121.7,299.9,0.0,33.9,0.0,0.0,0.0,0.0,0.0,107.8,128.1,0.0,0.0,10.2,649.5,0.0,0.0,0.0,0.0,121.6,70.6,0.0
