Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,NM,usa,MT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 02:00:00,2024-01-01 00:00:00,2630.7,0.0,0.0,147.3,2777.9,2543.6,831.3,4136.2,5295.8,0.0331,0.0457,0.5,0.68,434.5,42.6,6.13,20.2,1183.3,0.21,437.4,55.5,492.9,269.8,25.5,3.66,13.4,765.4,0.13,271.6,36.2,307.8,309.8,9.2,1.11,33.5,1512.7,0.14,310.3,78.6,389.0,309.6,5.8,0.58,36.6,1618.8,0.13,309.9,84.8,394.8,24.72,0.0,-0.0,24.72,25.62,0.0,-0.0,25.62,3937.5,1946.6,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,0.0,718.1,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,0.0,1946.6,0.0
2024-01-01 03:00:00,2024-01-01 01:00:00,2579.0,0.0,0.0,145.5,2724.5,2494.3,1032.0,4136.2,5095.1,0.0328,0.0447,0.47,0.66,464.5,45.5,6.55,21.6,1264.9,0.23,467.6,59.3,526.9,283.7,26.8,3.85,14.1,803.8,0.14,285.6,38.1,323.6,312.5,9.3,1.12,33.8,1525.8,0.14,313.1,79.3,392.4,307.2,5.8,0.58,36.3,1606.4,0.13,307.5,84.2,391.7,24.57,0.0,-0.0,24.57,25.42,0.0,-0.0,25.42,3683.4,1692.5,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,0.0,718.1,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,0.0,1692.5,0.0
2024-01-01 04:00:00,2024-01-01 02:00:00,2550.3,0.0,0.0,143.7,2694.0,2466.9,1148.6,4105.4,4947.7,0.0327,0.0442,0.44,0.64,483.8,47.4,6.82,22.5,1317.6,0.23,487.1,61.8,548.9,299.3,28.4,4.07,14.8,846.3,0.14,301.3,40.0,341.3,320.9,9.5,1.14,34.8,1568.2,0.14,321.5,81.5,403.0,318.7,6.0,0.6,37.6,1666.4,0.14,319.0,87.3,406.4,24.41,0.0,-0.0,24.41,25.22,0.0,-0.0,25.22,3536.2,1545.3,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,0.0,718.1,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,0.0,1545.3,0.0
2024-01-01 05:00:00,2024-01-01 03:00:00,2519.9,0.0,0.0,142.7,2662.6,2437.9,1626.7,4248.7,4855.1,0.0326,0.0437,0.32,0.58,554.0,51.9,7.44,27.9,1585.8,0.27,557.6,75.3,632.9,326.4,29.0,4.14,17.8,982.9,0.16,328.4,47.2,375.6,328.0,9.4,1.12,35.8,1612.0,0.14,328.6,83.9,412.5,487.8,9.2,0.92,57.6,2550.5,0.21,488.3,133.7,622.0,30.9,0.0,0.0,30.9,32.26,0.0,0.0,32.26,3269.0,1035.9,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,0.0,960.3,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,0.0,1035.9,0.0
2024-01-01 06:00:00,2024-01-01 04:00:00,2532.8,0.0,0.0,130.6,2663.3,2450.2,1682.0,3876.9,4431.1,0.0326,0.0439,0.31,0.57,563.3,52.7,7.56,28.4,1613.2,0.27,566.9,76.6,643.5,334.8,29.4,4.2,18.6,1018.7,0.16,336.9,49.0,385.9,318.3,8.4,0.98,35.4,1587.4,0.14,318.9,82.7,401.6,507.0,9.6,0.96,59.9,2650.9,0.22,507.5,138.9,646.5,31.98,0.0,0.0,31.98,33.44,0.0,0.0,33.44,3217.6,981.4,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,0.0,963.4,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,0.0,981.4,0.0
2024-01-01 07:00:00,2024-01-01 05:00:00,2580.1,0.0,0.0,123.9,2704.0,2495.4,1769.8,3700.2,4166.5,0.0328,0.0447,0.3,0.56,571.7,53.5,7.67,28.8,1637.2,0.28,575.4,77.7,653.1,344.6,30.3,4.32,19.2,1049.6,0.17,346.7,50.5,397.2,347.3,11.5,1.41,36.6,1660.7,0.15,348.0,86.1,434.1,459.3,8.7,0.87,54.3,2401.4,0.2,459.7,125.9,585.6,32.15,0.0,0.0,32.15,33.65,0.0,0.0,33.65,3170.4,934.2,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,0.0,963.4,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,0.0,934.2,0.0
2024-01-01 08:00:00,2024-01-01 06:00:00,2648.8,0.0,0.0,117.2,2766.0,2561.0,1916.3,3516.3,3839.0,0.0332,0.0459,0.28,0.53,586.8,54.9,7.87,29.6,1680.6,0.28,590.6,79.8,670.4,361.9,31.6,4.51,20.3,1108.2,0.17,364.1,53.4,417.5,344.3,11.8,1.46,36.0,1633.9,0.16,345.1,84.7,429.8,459.8,8.7,0.87,54.3,2404.4,0.2,460.3,126.0,586.3,32.24,0.0,0.0,32.24,33.78,0.0,0.0,33.78,3088.6,849.7,2.7,3.5,0.0,0.0,1246.8,0.0,0.0,18.3,963.4,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,3.0,828.3,0.0
2024-01-01 09:00:00,2024-01-01 07:00:00,2661.1,0.0,0.0,122.2,2783.3,2572.7,1529.3,3514.4,4221.4,0.0332,0.0461,0.37,0.57,519.3,48.6,6.97,26.2,1487.2,0.25,522.6,70.6,593.2,330.0,28.9,4.13,18.4,1007.0,0.16,332.0,48.5,380.5,304.1,8.4,0.98,33.5,1505.8,0.13,304.6,78.4,383.0,1495.1,172.2,25.04,46.1,3259.8,0.74,1507.1,143.4,1650.5,32.15,0.0,0.0,32.15,33.7,0.0,0.0,33.7,3490.3,1254.1,0.0,3.5,0.0,0.0,1246.8,0.0,0.0,134.6,963.4,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,510.6,608.9,0.0
2024-01-01 10:00:00,2024-01-01 08:00:00,2678.8,0.0,0.0,70.1,2748.9,2589.6,1210.9,2527.0,2322.6,0.0333,0.0465,0.61,0.79,300.9,27.0,3.85,16.3,899.6,0.14,302.8,43.1,345.9,162.3,13.8,1.96,9.5,509.9,0.08,163.2,24.7,187.9,244.7,6.7,0.78,27.0,1213.4,0.11,245.2,63.2,308.4,1123.7,129.4,18.82,34.6,2449.9,0.56,1132.7,107.8,1240.4,24.66,0.0,0.0,24.66,25.86,0.0,0.0,25.86,2544.4,1538.0,0.0,3.5,0.0,0.0,498.7,0.0,0.0,203.6,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,988.3,346.1,0.0
2024-01-01 11:00:00,2024-01-01 09:00:00,2690.8,2.7,0.0,88.4,2781.9,2601.0,1330.5,3187.4,2863.3,0.0334,0.0467,0.6,0.7,311.5,27.9,3.99,16.9,931.3,0.15,313.4,44.7,358.1,265.0,26.0,3.73,12.4,722.6,0.13,266.8,33.9,300.8,194.7,6.6,0.82,20.3,925.4,0.09,195.1,47.9,243.0,1066.3,122.8,17.86,32.9,2324.8,0.53,1074.8,102.3,1177.1,23.14,0.0,0.0,23.14,24.27,0.0,0.0,24.27,2457.8,1451.4,0.0,3.5,0.0,0.0,498.7,0.0,0.0,200.5,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,999.1,251.8,0.0
2024-01-01 12:00:00,2024-01-01 10:00:00,2688.9,1.0,0.0,78.0,2767.9,2599.2,1454.7,3029.2,2580.9,0.0334,0.0467,0.58,0.68,330.1,29.6,4.23,17.9,986.7,0.16,332.1,47.3,379.4,280.1,27.5,3.96,13.0,761.8,0.14,282.0,35.7,317.8,180.8,4.4,0.49,20.5,914.2,0.08,181.1,47.7,228.8,1140.7,131.4,19.11,35.1,2487.0,0.57,1149.8,109.4,1259.2,23.82,0.0,0.0,23.82,24.98,0.0,0.0,24.98,2319.7,1313.3,0.0,3.5,0.0,0.0,498.7,0.0,0.0,185.3,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,915.1,212.8,0.0
2024-01-01 13:00:00,2024-01-01 11:00:00,2670.4,0.0,0.0,66.3,2736.7,2581.5,1458.4,2674.5,2222.5,0.0333,0.0463,0.57,0.66,335.1,30.0,4.29,18.1,1001.8,0.16,337.2,48.0,385.2,298.8,29.3,4.22,13.9,812.8,0.15,300.8,38.2,338.9,179.4,4.4,0.5,20.2,904.4,0.08,179.7,47.2,226.9,1115.4,128.4,18.68,34.4,2431.8,0.55,1124.3,107.0,1231.3,24.03,0.0,0.0,24.03,25.2,0.0,0.0,25.2,2284.7,1278.2,0.0,3.5,0.0,0.0,498.7,0.0,0.0,178.8,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,871.5,228.0,0.0
2024-01-01 14:00:00,2024-01-01 12:00:00,2626.2,0.0,0.0,73.7,2699.8,2539.3,1351.1,2859.6,2514.9,0.0331,0.0456,0.58,0.67,325.1,29.1,4.16,17.6,971.8,0.16,327.1,46.6,373.7,287.9,28.3,4.07,13.4,782.8,0.14,289.9,36.7,326.6,177.7,4.2,0.46,20.2,902.5,0.08,177.9,47.2,225.1,1162.1,133.8,19.47,35.8,2533.7,0.58,1171.4,111.5,1282.9,23.95,0.0,0.0,23.95,25.09,0.0,0.0,25.09,2355.2,1348.8,0.0,3.5,0.0,0.0,498.7,0.0,0.0,185.3,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,900.5,263.0,0.0
2024-01-01 15:00:00,2024-01-01 13:00:00,2592.8,0.0,0.0,89.8,2682.6,2507.5,1214.9,3176.9,2968.5,0.0329,0.045,0.6,0.7,309.4,27.7,3.96,16.8,925.1,0.15,311.4,44.4,355.7,268.0,26.3,3.78,12.5,729.7,0.13,269.8,34.3,304.1,187.5,4.6,0.51,21.2,947.4,0.08,187.8,49.5,237.3,932.5,107.4,15.62,28.7,2033.2,0.46,940.0,89.4,1029.4,23.88,0.0,0.0,23.88,25.0,0.0,0.0,25.0,2474.2,1467.8,0.0,3.5,0.0,0.0,498.7,0.0,0.0,237.4,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,964.6,265.8,0.0
2024-01-01 16:00:00,2024-01-01 14:00:00,2566.2,2.7,0.0,66.0,2634.9,2482.1,1177.1,2385.6,2214.9,0.0328,0.0445,0.6,0.65,310.7,27.8,3.98,16.8,928.8,0.15,312.6,44.5,357.2,305.1,29.9,4.3,14.6,833.4,0.16,307.2,39.5,346.7,213.3,6.8,0.84,22.8,1026.6,0.1,213.8,53.4,267.2,371.2,7.0,0.7,43.9,1941.2,0.16,371.6,101.7,473.4,22.27,0.0,0.0,22.27,23.3,0.0,0.0,23.3,2464.2,1457.8,0.0,3.5,0.0,0.0,498.7,0.0,0.0,228.4,481.7,0.0,0.0,7.3,15.2,0.0,0.0,0.0,0.0,964.9,264.5,0.0
