Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,RI,usa,ET,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 00:00:00,2024-01-01 00:00:00,762.4,0.0,0.0,3.0,765.3,737.4,299.6,432.3,155.5,0.0328,0.0452,1.0,0.75,0.0,0.0,0.0,1.1,1.3,0.0,0.0,1.1,1.1,97.1,1.8,0.18,14.4,513.3,0.09,97.2,29.7,126.9,297.7,7.4,0.85,33.7,1491.2,0.14,298.2,78.1,376.3,441.5,8.3,0.83,52.1,2308.4,0.19,441.9,121.0,562.9,24.8,0.0,0.0,24.8,25.97,0.0,0.0,25.97,488.5,465.7,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,17.3,448.4
2024-01-01 01:00:00,2024-01-01 01:00:00,713.2,0.0,0.0,7.0,720.3,690.4,330.9,934.6,626.4,0.032,0.0423,1.0,0.63,0.0,0.0,0.0,1.3,1.5,0.01,0.0,1.3,1.3,143.4,2.7,0.27,20.8,757.8,0.13,143.5,43.4,186.9,320.0,8.9,1.05,35.4,1573.0,0.15,320.6,82.3,402.8,408.0,7.7,0.77,48.2,2133.4,0.18,408.4,111.8,520.2,24.07,0.0,0.0,24.07,25.13,0.0,0.0,25.13,412.1,389.4,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,17.1,372.3
2024-01-01 02:00:00,2024-01-01 02:00:00,674.3,0.0,0.0,7.0,681.3,653.1,364.5,934.6,592.9,0.0315,0.0399,1.0,0.66,0.0,0.0,0.0,1.6,1.9,0.01,0.0,1.6,1.6,132.7,2.5,0.25,20.3,703.8,0.14,132.9,41.3,174.2,324.1,7.4,0.81,37.2,1647.7,0.15,324.5,86.4,410.9,379.7,7.2,0.72,44.9,1985.5,0.17,380.1,104.1,484.2,22.69,0.0,0.0,22.69,23.64,0.0,0.0,23.64,339.5,316.8,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,18.6,298.1
2024-01-01 03:00:00,2024-01-01 03:00:00,641.7,0.0,0.0,7.0,648.6,621.7,367.0,934.6,590.3,0.0311,0.038,1.0,0.65,0.0,0.0,0.0,1.7,2.1,0.01,0.0,1.8,1.8,136.7,2.6,0.26,20.9,724.8,0.14,136.8,42.5,179.4,331.6,8.1,0.91,37.6,1673.1,0.15,332.1,87.4,419.6,368.2,6.9,0.69,43.5,1925.1,0.16,368.6,100.9,469.5,22.58,0.0,0.0,22.58,23.47,0.0,0.0,23.47,304.4,281.6,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,17.8,263.8
2024-01-01 04:00:00,2024-01-01 04:00:00,624.3,0.0,0.0,6.9,631.2,605.0,391.0,934.6,566.4,0.0309,0.037,1.0,0.66,0.0,0.0,0.0,2.0,2.4,0.01,0.0,2.1,2.1,133.3,2.5,0.25,20.9,707.7,0.15,133.4,42.1,175.5,337.9,8.5,0.97,38.0,1696.3,0.15,338.4,88.6,427.0,363.4,6.8,0.69,42.9,1900.4,0.16,363.8,99.6,463.4,22.3,0.0,0.0,22.3,23.16,0.0,0.0,23.16,263.0,240.2,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,17.2,223.1
2024-01-01 05:00:00,2024-01-01 05:00:00,619.9,0.0,0.0,6.7,626.7,600.8,476.9,934.6,480.5,0.0309,0.0367,1.0,0.63,0.0,0.0,0.0,3.1,3.7,0.01,0.0,3.2,3.2,144.4,2.7,0.27,22.7,767.0,0.16,144.6,45.6,190.1,336.4,7.0,0.74,39.2,1736.9,0.15,336.8,91.0,427.8,422.2,8.0,0.8,49.9,2207.5,0.18,422.6,115.7,538.3,22.39,0.0,0.0,22.39,23.24,0.0,0.0,23.24,172.6,149.8,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,12.1,137.7
2024-01-01 06:00:00,2024-01-01 06:00:00,631.2,0.0,0.0,6.5,637.7,611.6,563.5,934.6,393.9,0.031,0.0374,1.0,0.53,0.0,0.0,0.0,5.4,6.5,0.02,0.0,5.6,5.6,182.3,3.4,0.34,26.7,963.8,0.17,182.5,55.5,237.9,328.0,8.4,0.97,36.8,1636.8,0.15,328.5,85.6,414.1,408.1,7.7,0.77,48.2,2133.8,0.18,408.5,111.8,520.4,23.44,0.0,0.0,23.44,24.35,0.0,0.0,24.35,96.9,74.2,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.3,5.4,65.6
2024-01-01 07:00:00,2024-01-01 07:00:00,654.3,0.0,0.0,6.6,660.9,633.8,522.6,934.6,434.8,0.0312,0.0388,1.0,0.66,0.0,0.0,0.0,3.3,3.9,0.01,0.0,3.4,3.4,133.5,2.5,0.25,21.0,709.0,0.15,133.6,42.2,175.8,321.0,8.3,0.95,35.9,1605.7,0.14,321.5,83.8,405.3,364.1,6.9,0.69,43.0,1903.9,0.16,364.5,99.8,464.3,22.3,0.0,0.0,22.3,23.2,0.0,0.0,23.2,161.1,138.3,0.0,22.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,64.6,1.8,24.0
2024-01-01 08:00:00,2024-01-01 08:00:00,664.8,0.0,0.0,6.8,671.6,644.0,432.2,934.6,525.1,0.0314,0.0394,1.0,0.72,0.0,0.0,0.0,2.0,2.4,0.01,0.0,2.1,2.1,108.8,2.1,0.21,17.2,578.0,0.12,108.9,34.4,143.4,167.7,4.0,0.44,19.1,849.1,0.08,167.9,44.4,212.4,364.3,6.9,0.69,43.0,1905.2,0.16,364.7,99.9,464.6,22.3,0.0,0.0,22.3,23.22,0.0,0.0,23.22,262.1,239.4,0.0,22.0,0.0,0.0,0.0,0.0,0.0,86.7,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,143.6,0.4,8.7
2024-01-01 09:00:00,2024-01-01 09:00:00,700.6,0.0,0.0,6.7,707.3,678.3,473.0,934.6,484.4,0.0318,0.0415,1.0,0.73,0.0,0.0,0.0,2.1,2.5,0.01,0.0,2.1,2.1,108.2,2.0,0.2,17.1,574.5,0.12,108.3,34.2,142.5,173.5,6.3,0.8,17.8,809.7,0.08,173.9,41.9,215.8,365.2,6.9,0.69,43.1,1909.4,0.16,365.5,100.1,465.6,22.3,0.0,0.0,22.3,23.27,0.0,0.0,23.27,257.1,234.3,0.0,22.0,0.0,0.0,0.0,0.0,0.0,85.9,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,147.4,0.0,0.9
2024-01-01 10:00:00,2024-01-01 10:00:00,738.1,0.0,0.0,6.6,744.6,714.2,537.4,934.6,420.0,0.0324,0.0437,1.0,0.71,0.0,0.0,0.0,2.3,2.8,0.01,0.0,2.4,2.4,113.8,2.1,0.21,17.9,604.2,0.13,113.9,36.0,149.9,179.5,7.6,0.99,17.4,804.6,0.08,180.0,41.4,221.4,366.0,6.9,0.69,43.2,1913.8,0.16,366.4,100.3,466.7,22.3,0.0,0.0,22.3,23.32,0.0,0.0,23.32,230.0,207.2,0.0,22.0,0.0,0.0,0.0,0.0,0.0,74.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,128.2,0.0,4.2
2024-01-01 11:00:00,2024-01-01 11:00:00,767.4,0.0,0.0,6.5,773.9,742.2,578.5,934.6,378.9,0.0328,0.0455,1.0,0.71,0.0,0.0,0.0,2.4,2.9,0.01,0.0,2.5,2.5,116.2,2.2,0.22,18.3,617.4,0.13,116.4,36.8,153.1,220.8,7.8,0.97,22.8,1039.7,0.1,221.3,53.8,275.1,366.7,6.9,0.69,43.3,1917.3,0.16,367.1,100.5,467.6,22.3,0.0,0.0,22.3,23.37,0.0,0.0,23.37,218.1,195.3,0.0,22.0,0.0,0.0,0.0,0.0,0.0,66.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,113.2,1.3,14.0
2024-01-01 12:00:00,2024-01-01 12:00:00,778.5,0.0,0.0,6.6,785.1,752.8,513.7,934.6,443.7,0.033,0.0461,1.0,0.73,0.0,0.0,0.0,1.8,2.2,0.01,0.0,1.9,1.9,106.9,2.0,0.2,16.9,567.9,0.12,107.0,33.8,140.8,187.7,6.5,0.82,19.5,885.5,0.08,188.2,45.9,234.0,366.9,6.9,0.69,43.3,1918.6,0.16,367.3,100.6,467.9,22.3,0.0,0.0,22.3,23.38,0.0,0.0,23.38,294.2,271.4,0.0,22.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,137.5,3.0,47.8
2024-01-01 13:00:00,2024-01-01 13:00:00,784.6,0.0,0.0,6.8,791.4,758.7,447.7,934.6,509.7,0.0331,0.0465,1.0,0.75,0.0,0.0,0.0,1.4,1.7,0.01,0.0,1.5,1.5,98.5,1.9,0.19,15.5,523.0,0.11,98.6,31.2,129.7,175.2,6.8,0.87,17.6,804.9,0.08,175.7,41.6,217.2,367.1,6.9,0.69,43.4,1919.4,0.16,367.5,100.6,468.1,22.3,0.0,0.0,22.3,23.39,0.0,0.0,23.39,366.5,343.7,0.0,22.0,0.0,0.0,0.0,0.0,0.0,107.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,145.8,5.2,85.7
2024-01-01 14:00:00,2024-01-01 14:00:00,780.8,0.0,0.0,6.7,787.5,755.0,488.8,934.6,468.5,0.0331,0.0463,1.0,0.71,0.0,0.0,0.0,1.6,2.0,0.01,0.0,1.7,1.7,114.9,2.2,0.22,18.1,610.4,0.13,115.0,36.3,151.4,185.5,8.1,1.06,17.8,824.2,0.08,186.0,42.4,228.3,367.0,6.9,0.69,43.3,1918.9,0.16,367.4,100.6,467.9,22.3,0.0,0.0,22.3,23.38,0.0,0.0,23.38,321.4,298.7,0.0,22.0,0.0,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,79.7,7.1,145.7
2024-01-01 15:00:00,2024-01-01 15:00:00,769.6,0.0,0.0,6.6,776.2,744.3,529.1,934.6,428.3,0.0329,0.0456,1.0,0.63,0.0,0.0,0.0,2.0,2.3,0.01,0.0,2.0,2.0,144.0,2.7,0.27,21.7,762.8,0.14,144.2,44.4,188.6,249.4,9.1,1.16,25.5,1161.8,0.11,250.0,60.1,310.1,382.9,7.2,0.72,45.2,2002.0,0.17,383.3,104.9,488.2,22.92,0.0,0.0,22.92,24.02,0.0,0.0,24.02,269.9,247.2,0.0,22.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,7.8,12.3,218.2
