Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,TN,usa,CT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 01:00:00,2024-01-01 00:00:00,10435.9,0.0,0.0,110.5,10546.4,10098.7,10530.0,6401.6,4312.0,0.0323,0.0427,0.6,0.56,255.7,20.8,2.95,20.1,842.5,0.22,257.1,45.2,302.3,312.3,27.2,3.89,20.6,964.5,0.22,314.2,49.4,363.6,628.3,53.8,7.66,36.2,1956.3,0.3,632.0,94.6,726.6,376.2,7.1,0.71,44.4,1967.0,0.16,376.6,103.1,479.7,24.67,0.0,0.0,24.67,25.77,0.0,0.0,25.77,8456.8,16.5,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,0.0,2099.1,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.0,16.5,0.0
2024-01-01 02:00:00,2024-01-01 01:00:00,10221.8,0.0,0.0,108.8,10330.6,9893.7,10314.0,6492.3,3869.0,0.0321,0.0418,0.65,0.6,245.1,22.1,3.17,17.8,739.1,0.23,246.6,39.9,286.5,304.6,28.1,4.03,19.0,891.9,0.22,306.5,45.7,352.2,655.9,56.0,7.97,38.0,2049.2,0.31,659.7,99.1,758.8,380.5,7.2,0.72,44.9,1989.4,0.17,380.9,104.3,485.1,23.62,0.0,0.0,23.62,24.65,0.0,0.0,24.65,7707.3,16.6,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,0.0,1349.4,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.0,16.6,0.0
2024-01-01 03:00:00,2024-01-01 02:00:00,10024.8,0.0,0.0,107.1,10131.9,9704.9,10115.2,6083.6,3659.1,0.0319,0.041,0.65,0.61,245.1,22.1,3.17,17.8,739.1,0.23,246.6,39.9,286.5,297.5,27.3,3.91,18.9,877.3,0.22,299.4,45.1,344.5,643.9,53.5,7.59,38.7,2059.3,0.31,647.6,100.1,747.7,381.2,7.2,0.72,45.0,1993.5,0.17,381.7,104.5,486.1,23.49,0.0,0.0,23.49,24.49,0.0,0.0,24.49,7707.4,16.7,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,0.0,1349.4,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.0,16.7,0.0
2024-01-01 04:00:00,2024-01-01 03:00:00,9960.1,0.0,0.0,119.1,10079.3,9642.8,10062.4,6691.5,4319.8,0.0319,0.0408,0.65,0.6,245.1,22.1,3.16,17.8,739.1,0.23,246.6,39.9,286.5,303.6,27.7,3.96,19.3,901.3,0.22,305.5,46.2,351.7,644.4,54.4,7.73,37.9,2033.4,0.31,648.1,98.6,746.8,381.1,7.2,0.72,45.0,1993.0,0.17,381.6,104.5,486.0,23.56,0.0,0.0,23.56,24.56,0.0,0.0,24.56,7707.6,16.9,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,0.0,1349.4,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.0,16.9,0.0
2024-01-01 05:00:00,2024-01-01 04:00:00,10049.0,0.0,0.0,119.3,10168.3,9728.1,10151.3,6462.7,4751.8,0.0319,0.0411,0.6,0.57,255.7,20.8,2.95,20.1,842.5,0.22,257.1,45.2,302.3,312.0,27.4,3.91,20.4,956.8,0.22,313.9,49.0,362.8,679.8,62.8,9.0,35.0,1970.1,0.33,684.2,93.8,777.9,424.1,8.0,0.8,50.1,2217.6,0.18,424.6,116.2,540.8,24.07,0.0,0.0,24.07,25.11,0.0,0.0,25.11,8457.3,17.0,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,0.0,2099.1,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.0,17.0,0.0
2024-01-01 06:00:00,2024-01-01 05:00:00,10236.8,0.0,0.0,124.6,10361.4,9908.1,10344.3,6885.5,4981.6,0.0321,0.0419,0.6,0.55,255.7,20.8,2.95,20.1,842.5,0.22,257.1,45.2,302.3,319.7,28.0,4.0,20.8,982.8,0.22,321.7,50.2,371.8,550.4,46.0,6.54,32.8,1746.9,0.27,553.6,84.9,638.5,410.0,7.7,0.77,48.4,2143.8,0.18,410.4,112.4,522.8,25.54,0.0,0.0,25.54,26.65,0.0,0.0,26.65,8457.5,17.1,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,0.0,2099.1,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.0,17.1,0.0
2024-01-01 07:00:00,2024-01-01 06:00:00,10498.9,0.0,0.0,117.9,10616.8,10159.0,10593.8,6610.6,4322.3,0.0324,0.043,0.61,0.57,253.7,21.0,2.98,19.7,824.5,0.22,255.1,44.3,299.4,310.3,27.6,3.95,20.1,940.6,0.22,312.2,48.2,360.4,609.7,48.0,6.78,39.0,2033.8,0.29,613.0,99.7,712.7,382.4,7.2,0.72,45.2,1999.6,0.17,382.8,104.8,487.6,23.85,0.0,0.0,23.85,24.92,0.0,0.0,24.92,8328.5,23.0,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,5.1,1964.3,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,0.7,17.3,0.0
2024-01-01 08:00:00,2024-01-01 07:00:00,10853.9,0.0,1093.8,72.1,12019.8,10498.6,11377.2,4891.9,905.5,0.0327,0.0444,0.7,0.66,221.8,21.0,3.01,15.5,639.3,0.21,223.3,34.6,257.9,267.1,25.1,3.59,16.9,771.8,0.21,268.9,40.0,308.8,62.7,3.2,0.44,5.6,262.5,0.03,62.9,13.5,76.4,370.4,7.0,0.7,43.8,1936.9,0.16,370.8,101.5,472.3,22.74,0.0,0.0,22.74,23.8,0.0,0.0,23.8,8033.4,642.7,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,42.7,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,582.7,17.3,0.0
2024-01-01 09:00:00,2024-01-01 08:00:00,10869.9,19.5,1334.4,71.9,12295.7,10513.9,10924.2,4494.0,960.6,0.0328,0.0445,0.73,0.68,203.4,19.2,2.76,14.2,586.1,0.19,204.7,31.8,236.4,250.1,23.3,3.33,16.1,729.5,0.2,251.7,37.9,289.6,44.4,2.7,0.38,3.5,171.4,0.02,44.5,8.6,53.2,385.2,7.3,0.73,45.5,2014.0,0.17,385.6,105.6,491.1,22.36,0.0,0.0,22.36,23.4,0.0,0.0,23.4,8762.3,1371.5,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,70.2,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1284.2,17.1,0.0
2024-01-01 10:00:00,2024-01-01 09:00:00,10859.5,7.2,1334.4,75.6,12276.8,10503.9,10870.4,4669.8,1190.3,0.0327,0.0444,0.73,0.68,202.5,19.2,2.75,14.2,583.8,0.19,203.9,31.6,235.5,249.6,23.3,3.34,16.0,725.6,0.2,251.2,37.7,288.9,39.5,2.3,0.31,3.3,158.4,0.02,39.7,8.0,47.7,374.8,7.1,0.71,44.3,1959.9,0.16,375.2,102.7,478.0,22.53,0.0,0.0,22.53,23.57,0.0,0.0,23.57,8797.2,1406.4,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,69.0,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1320.7,16.7,0.0
2024-01-01 11:00:00,2024-01-01 10:00:00,10820.1,0.0,1334.4,75.2,12229.7,10466.2,10895.5,4606.2,1101.5,0.0327,0.0443,0.73,0.67,204.2,19.3,2.77,14.3,588.7,0.19,205.6,31.9,237.5,251.2,23.4,3.35,16.2,731.5,0.2,252.8,38.0,290.8,35.6,1.7,0.23,3.2,151.6,0.02,35.7,7.8,43.5,383.1,7.2,0.72,45.3,2003.2,0.17,383.5,105.0,488.5,22.74,0.0,0.0,22.74,23.79,0.0,0.0,23.79,8725.0,1334.2,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,63.8,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1254.4,16.0,0.0
2024-01-01 12:00:00,2024-01-01 11:00:00,10810.0,0.0,1118.4,72.7,12001.1,10456.6,10727.0,4511.9,1175.7,0.0327,0.0442,0.73,0.67,205.6,19.5,2.79,14.4,592.7,0.2,207.0,32.1,239.1,254.4,23.5,3.37,16.5,745.6,0.2,256.0,38.8,294.8,36.4,1.8,0.24,3.3,155.5,0.02,36.5,8.0,44.5,1089.7,125.5,18.25,33.6,2375.8,0.54,1098.4,104.5,1202.9,22.74,0.0,0.0,22.74,23.8,0.0,0.0,23.8,8664.9,1274.1,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,57.8,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1198.9,17.4,0.0
2024-01-01 13:00:00,2024-01-01 12:00:00,10634.3,0.0,1334.4,66.8,12035.5,10288.6,10697.0,4287.7,981.5,0.0325,0.0435,0.73,0.67,204.1,19.3,2.77,14.3,588.4,0.19,205.5,31.9,237.3,254.5,23.4,3.35,16.7,750.3,0.2,256.1,39.1,295.2,36.4,1.7,0.22,3.4,158.1,0.02,36.5,8.1,44.6,370.1,7.0,0.7,43.7,1935.0,0.16,370.5,101.4,471.9,22.53,0.0,0.0,22.53,23.55,0.0,0.0,23.55,8729.3,1338.5,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,61.9,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1259.2,17.3,0.0
2024-01-01 14:00:00,2024-01-01 13:00:00,10512.6,19.5,1334.4,64.1,11930.6,10172.1,10443.4,3789.9,737.3,0.0324,0.043,0.73,0.67,200.7,19.0,2.72,14.1,578.5,0.19,202.0,31.3,233.4,243.2,21.8,3.12,16.7,734.9,0.2,244.7,38.6,283.3,37.0,2.0,0.26,3.2,153.2,0.02,37.1,7.8,44.9,375.1,7.1,0.71,44.3,1961.5,0.16,375.5,102.8,478.3,22.53,0.0,0.0,22.53,23.54,0.0,0.0,23.54,8877.9,1487.1,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,98.2,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1371.6,17.4,0.0
2024-01-01 15:00:00,2024-01-01 14:00:00,10594.4,0.0,1334.4,77.0,12005.8,10250.4,10548.1,4437.1,1279.8,0.0325,0.0434,0.73,0.67,201.4,19.0,2.73,14.1,580.4,0.19,202.7,31.5,234.1,247.1,22.7,3.24,16.3,731.2,0.2,248.7,38.2,286.9,31.7,1.4,0.19,3.0,138.9,0.01,31.8,7.1,39.0,382.0,7.2,0.72,45.1,1997.3,0.17,382.4,104.7,487.1,22.74,0.0,0.0,22.74,23.78,0.0,0.0,23.78,8848.5,1457.7,0.0,8.0,0.0,0.0,1325.1,0.0,0.0,88.3,1049.6,0.0,0.0,0.0,884.3,4123.8,0.0,0.0,0.0,1352.6,16.7,0.0
