Project,Scenario,Dollar_year,Weather_year,Start_day,state,country,tz,t
Cambium_2022,MidCase,2021$,2012,Sunday,WY,usa,MT,2024
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2024-01-01 02:00:00,2024-01-01 00:00:00,2402.3,0.0,0.0,64.3,2466.6,2316.8,609.2,1709.3,5835.9,0.0356,0.0534,0.29,0.29,759.0,87.0,12.65,23.8,1668.4,0.38,765.1,73.6,838.7,783.7,89.9,13.07,24.5,1720.0,0.39,790.0,75.8,865.8,441.2,17.3,2.22,44.0,2022.9,0.2,442.4,104.3,546.7,1352.7,155.8,22.66,41.7,2949.3,0.67,1363.5,129.7,1493.3,30.75,0.0,0.0,30.75,32.48,0.0,0.0,32.48,6593.3,1857.4,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1857.4,0.0
2024-01-01 03:00:00,2024-01-01 01:00:00,2420.2,0.0,0.0,56.0,2476.2,2333.6,611.1,1411.3,5536.1,0.0358,0.0538,0.29,0.27,758.2,86.9,12.63,23.7,1666.5,0.38,764.2,73.5,837.7,802.0,92.0,13.38,25.0,1759.2,0.4,808.4,77.5,885.9,446.7,18.8,2.44,43.4,2007.3,0.2,448.0,103.2,551.2,1353.3,155.8,22.67,41.7,2950.6,0.67,1364.2,129.8,1494.0,30.75,0.0,0.0,30.75,32.5,0.0,0.0,32.5,6601.0,1865.1,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1865.1,0.0
2024-01-01 04:00:00,2024-01-01 02:00:00,2505.3,0.0,0.0,41.5,2546.8,2413.9,671.1,901.1,4965.8,0.0365,0.0559,0.29,0.24,756.9,86.7,12.61,23.7,1663.8,0.38,763.0,73.4,836.4,842.3,96.7,14.06,26.2,1845.6,0.42,849.0,81.3,930.4,440.2,18.6,2.42,42.7,1976.5,0.2,441.4,101.6,543.0,997.7,98.0,14.11,46.0,2708.8,0.48,1004.4,126.9,1131.3,30.8,0.0,0.0,30.8,32.62,0.0,0.0,32.62,6611.5,1875.7,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1875.7,0.0
2024-01-01 05:00:00,2024-01-01 03:00:00,2479.7,0.0,0.0,41.7,2521.5,2389.7,661.9,908.9,4982.8,0.0363,0.0553,0.29,0.24,758.8,87.0,12.64,23.8,1667.9,0.38,764.8,73.6,838.4,843.2,96.8,14.08,26.2,1847.6,0.42,849.9,81.4,931.3,440.6,18.9,2.47,42.4,1966.8,0.2,441.8,101.1,542.9,1014.0,96.7,13.89,49.4,2844.9,0.49,1020.7,134.3,1155.0,30.8,0.0,0.0,30.8,32.6,0.0,0.0,32.6,6595.4,1859.5,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1859.5,0.0
2024-01-01 06:00:00,2024-01-01 04:00:00,2457.3,0.0,0.0,41.8,2499.1,2368.5,666.0,915.4,4985.2,0.0361,0.0548,0.28,0.24,761.8,87.3,12.7,23.9,1674.6,0.38,767.9,73.9,841.8,845.6,97.1,14.12,26.3,1852.8,0.42,852.3,81.6,934.0,446.3,18.7,2.43,43.4,2007.1,0.2,447.5,103.2,550.8,1013.8,96.8,13.9,49.4,2843.5,0.49,1020.5,134.2,1154.7,30.76,0.0,0.0,30.76,32.54,0.0,0.0,32.54,6569.0,1833.2,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1833.2,0.0
2024-01-01 07:00:00,2024-01-01 05:00:00,2444.3,0.0,0.0,43.1,2487.4,2356.3,674.9,928.6,4989.5,0.036,0.0544,0.28,0.23,764.2,87.6,12.74,23.9,1679.8,0.38,770.3,74.1,844.4,855.0,98.2,14.28,26.6,1873.0,0.42,861.8,82.5,944.4,447.2,18.8,2.44,43.5,2011.2,0.2,448.4,103.5,551.9,464.0,8.7,0.87,54.8,2426.1,0.2,464.5,127.2,591.6,30.83,0.0,0.0,30.83,32.6,0.0,0.0,32.6,6548.4,1812.5,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1812.5,0.0
2024-01-01 08:00:00,2024-01-01 06:00:00,2440.0,0.0,0.0,44.2,2484.1,2352.3,781.7,945.8,4899.9,0.0359,0.0543,0.27,0.21,777.3,89.1,12.95,24.3,1708.6,0.39,783.5,75.4,858.9,870.8,100.0,14.54,27.1,1907.2,0.43,877.8,84.0,961.8,447.9,19.2,2.51,43.1,2000.1,0.2,449.2,102.8,552.0,463.9,8.7,0.87,54.8,2425.7,0.2,464.4,127.1,591.5,30.91,0.0,0.0,30.91,32.68,0.0,0.0,32.68,6438.2,1702.4,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.0,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.0,1702.4,0.0
2024-01-01 09:00:00,2024-01-01 07:00:00,2412.8,0.0,0.0,42.8,2455.5,2326.7,853.1,988.0,4870.8,0.0357,0.0536,0.26,0.22,789.6,90.5,13.16,24.7,1735.5,0.39,795.9,76.6,872.4,870.2,99.9,14.53,27.1,1906.3,0.43,877.2,84.0,961.2,424.0,17.2,2.21,41.8,1927.0,0.19,425.1,99.3,524.4,1506.9,173.5,25.24,46.4,3285.6,0.75,1519.0,144.5,1663.6,30.83,0.0,0.0,30.83,32.58,0.0,0.0,32.58,6338.3,1602.5,0.0,0.0,0.0,0.0,4619.4,0.0,0.0,0.6,80.4,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,0.5,1601.3,0.0
2024-01-01 10:00:00,2024-01-01 08:00:00,2458.8,0.0,0.0,112.5,2571.3,2370.2,1100.4,3075.6,5936.6,0.036,0.0546,0.28,0.37,762.4,87.5,12.73,23.7,1670.3,0.38,768.4,73.6,842.0,687.1,78.8,11.46,21.4,1507.3,0.34,692.6,66.4,759.0,428.2,29.2,4.07,31.4,1569.2,0.2,430.1,78.2,508.4,1133.4,130.5,18.98,34.9,2471.1,0.56,1142.5,108.7,1251.2,26.02,0.0,0.0,26.02,27.52,0.0,0.0,27.52,5432.3,1470.9,0.0,0.0,0.0,0.0,3885.1,0.0,0.0,1.3,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,20.6,1449.0,0.0
2024-01-01 11:00:00,2024-01-01 09:00:00,2480.4,0.0,0.0,50.8,2531.2,2390.7,1286.8,1608.5,3136.1,0.0362,0.0551,0.32,0.34,725.8,83.2,12.1,22.7,1593.5,0.36,731.6,70.3,801.9,724.9,83.2,12.1,22.6,1589.5,0.36,730.7,70.1,800.7,375.4,27.1,3.8,26.2,1328.6,0.18,377.2,65.8,443.0,1075.8,123.9,18.02,33.1,2345.6,0.53,1084.4,103.2,1187.6,24.62,0.0,0.0,24.62,26.05,0.0,0.0,26.05,4058.8,1244.5,0.0,0.0,0.0,0.0,2738.1,0.0,0.0,1.3,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,33.1,1210.0,0.0
2024-01-01 12:00:00,2024-01-01 10:00:00,2499.5,0.0,0.0,75.0,2574.5,2408.7,1402.4,2314.8,3776.3,0.0363,0.0555,0.3,0.36,743.6,85.3,12.4,23.2,1632.3,0.37,749.5,72.0,821.5,702.3,80.5,11.71,21.9,1541.7,0.35,707.9,68.0,775.9,206.1,7.8,0.99,20.8,954.3,0.09,206.6,49.3,255.9,1151.4,132.6,19.29,35.5,2510.4,0.57,1160.6,110.4,1271.1,25.13,0.0,0.0,25.13,26.61,0.0,0.0,26.61,4036.0,1172.1,0.0,0.0,0.0,0.0,2787.6,0.0,0.0,2.4,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,35.7,1134.0,0.0
2024-01-01 13:00:00,2024-01-01 11:00:00,2473.8,0.0,0.0,81.4,2555.3,2384.4,1438.4,2551.8,4015.7,0.0361,0.055,0.29,0.36,755.2,86.6,12.6,23.6,1657.7,0.37,761.2,73.1,834.3,704.1,80.7,11.74,22.0,1546.0,0.35,709.7,68.2,777.9,198.6,6.8,0.84,20.7,942.8,0.09,199.1,48.8,247.9,1092.6,125.8,18.3,33.7,2382.2,0.54,1101.4,104.8,1206.2,25.27,0.0,0.0,25.27,26.74,0.0,0.0,26.74,4019.2,1116.9,0.0,0.0,0.0,0.0,2826.0,0.0,0.0,2.6,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,35.2,1079.1,0.0
2024-01-01 14:00:00,2024-01-01 12:00:00,2482.6,0.0,0.0,79.4,2562.0,2392.7,1508.0,2490.5,3887.8,0.0362,0.0551,0.28,0.35,767.3,88.0,12.8,24.0,1684.2,0.38,773.4,74.3,847.7,715.2,82.0,11.93,22.4,1570.5,0.35,720.9,69.2,790.2,204.7,6.5,0.79,21.8,987.6,0.09,205.1,51.3,256.3,1132.4,130.4,18.97,34.9,2468.9,0.56,1141.5,108.6,1250.1,25.27,0.0,0.0,25.27,26.75,0.0,0.0,26.75,3959.3,1054.0,0.0,0.0,0.0,0.0,2829.1,0.0,0.0,3.3,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,36.9,1013.8,0.0
2024-01-01 15:00:00,2024-01-01 13:00:00,2481.6,0.0,0.0,75.9,2557.5,2391.7,1545.9,2301.0,3618.9,0.0362,0.0551,0.27,0.34,774.4,88.8,12.92,24.2,1699.9,0.38,780.6,74.9,855.5,722.2,82.8,12.04,22.6,1585.9,0.36,727.9,69.9,797.8,207.6,7.3,0.91,21.5,978.2,0.09,208.1,50.6,258.7,942.5,108.5,15.79,29.0,2055.0,0.47,950.1,90.4,1040.5,25.2,0.0,0.0,25.2,26.67,0.0,0.0,26.67,3875.5,1011.6,0.0,0.0,0.0,0.0,2787.6,0.0,0.0,4.1,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,44.1,963.4,0.0
2024-01-01 16:00:00,2024-01-01 14:00:00,2487.5,0.0,0.0,24.0,2511.4,2397.3,1565.8,921.7,2049.6,0.0363,0.0553,0.27,0.28,774.4,88.8,12.91,24.2,1700.6,0.38,780.5,75.0,855.5,799.1,91.8,13.34,24.9,1750.8,0.4,805.5,77.1,882.6,269.3,14.6,1.98,23.2,1106.0,0.12,270.3,56.2,326.4,375.5,7.1,0.71,44.4,1963.3,0.16,375.9,102.9,478.8,23.71,0.0,0.0,23.71,25.1,0.0,0.0,25.1,3639.4,945.6,0.0,0.0,0.0,0.0,2617.5,0.0,0.0,3.3,40.2,0.0,0.0,0.0,36.1,0.0,0.0,0.0,0.0,44.0,898.3,0.0
