,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
8,3,ERCOT_2020_HubAVG.csv,1005344,180,Microreactor,1,7.722650642,-6942918.776,-5886288.708,-1771011,0,0,-3350,717730.9325,Iron and Steel Mills,24.81891895,28.50815353
18,3,ERCOT_2020_HubAVG.csv,1004259,180,Microreactor,1,3.739040312,-6706332.483,-5886288.708,-1771011,0,0,-3350,954317.2255,Iron and Steel Mills,49.51446582,56.87459622
28,3,ERCOT_2020_HubAVG.csv,1005832,180,Microreactor,1,4.431110244,-6747422.585,-5886288.708,-1771011,0,0,-3350,913227.1235,Iron and Steel Mills,42.03707795,48.28572408
38,3,ERCOT_2020_HubAVG.csv,1002769,180,Microreactor,1,2.062914472,-6606816.265,-5886288.708,-1771011,0,0,-3350,1053833.443,Iron and Steel Mills,88.4134162,101.5557224
48,3,ERCOT_2020_HubAVG.csv,1007348,180,Microreactor,1,4.061553383,-6725480.974,-5886288.708,-1771011,0,0,-3350,935168.7343,Iron and Steel Mills,45.71285515,52.50789108
58,3,ERCOT_2020_HubAVG.csv,1003580,180,Microreactor,1,1.543660245,-6575986.709,-5886288.708,-1771011,0,0,-3350,1084663,Iron and Steel Mills,117.6024507,135.083592
61,2,ERCOT_2020_HubAVG.csv,1002146,220,iMSR,2,335.1475188,-122617881.8,-92969471.45,-23970000,-1204490.183,-25491830.24,-141000,21158910.1,Petrochemicals,9.916700107,11.60142118
70,2,ERCOT_2020_HubAVG.csv,1006543,220,iMSR,2,384.6988284,-126749044.2,-92969471.45,-23970000,-1209494.692,-25597745.66,-141000,17138667.6,Petrochemicals,8.930447224,10.4476165
77,0,ERCOT_2020_HubAVG.csv,1007909,220,iPWR,4,543.5931282,-174880190.9,-137382585.4,-35420000,-2114701.455,-23714526.45,-231000,23982622.39,Petrochemicals,8.71999106,10.20140651
88,3,ERCOT_2020_HubAVG.csv,1002758,220,Microreactor,3,41.46793102,-21918667.8,-17658866.13,-5313033,0,0,-10050,1063281.328,Petrochemicals,14.32686491,16.76081684
98,3,ERCOT_2020_HubAVG.csv,1004957,220,Microreactor,1,12.89016036,-7247227.147,-5886288.708,-1771011,0,0,-3350,413422.5614,Petrochemicals,15.23922679,17.82817738
108,3,ERCOT_2020_HubAVG.csv,1002859,220,Microreactor,1,0.846048239,-6534392.49,-5886288.708,-1771011,0,0,-3350,1126257.219,Petrochemicals,209.3434947,244.9082888
118,3,ERCOT_2020_HubAVG.csv,1007562,220,Microreactor,2,20.81026217,-14209915.67,-11772577.42,-3542022,0,0,-6700,1111383.75,Petrochemicals,18.50816352,21.65246484
127,4,ERCOT_2020_HubAVG.csv,1006275,220,PBR-HTGR,2,230.3167323,-81439845.74,-58911884.42,-16000000,0,-17162170.87,-80000,10714209.55,Petrochemicals,9.58430953,11.21256168
137,4,ERCOT_2020_HubAVG.csv,1003991,220,PBR-HTGR,3,413.1834022,-127145792.3,-88367826.63,-24000000,0,-25946177.42,-200000,11368211.8,Petrochemicals,8.340815293,9.757813607
146,3,ERCOT_2020_HubAVG.csv,1004389,220,Microreactor,1,6.040684858,-6841737.503,-5886288.708,-1771011,0,0,-3350,818912.2051,Petrochemicals,30.69938019,35.91481399
