,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
5,0,SPP_2021_HubAVG.csv,1004453,180,iPWR,1,1.804971836,-44557333.8,-34345646.35,-8855000,-107923.2,-1210264.255,-38500,0,Iron and Steel Mills,681.484419,782.7843947
6,1,SPP_2021_HubAVG.csv,1004453,180,HTGR,1,1.804971836,-129888845.3,-99121276.32,-26896000,0,-3789568.992,-82000,0,Iron and Steel Mills,1986.591583,2281.8906
7,2,SPP_2021_HubAVG.csv,1004453,180,iMSR,1,1.804971836,-61277844.35,-46484735.72,-11985000,-123516,-2614092.624,-70500,0,Iron and Steel Mills,937.217122,1076.530757
8,3,SPP_2021_HubAVG.csv,1004453,180,Microreactor,1,1.804971836,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,117.1661985,134.5824926
9,4,SPP_2021_HubAVG.csv,1004453,180,PBR-HTGR,1,1.804971836,-41193082.69,-29455942.21,-8000000,0,-3697140.48,-40000,0,Iron and Steel Mills,630.0297084,723.681144
15,0,SPP_2021_HubAVG.csv,1007695,180,iPWR,1,4.725974983,-44557333.8,-34345646.35,-8855000,-107923.2,-1210264.255,-38500,0,Iron and Steel Mills,260.2764905,298.9655661
16,1,SPP_2021_HubAVG.csv,1007695,180,HTGR,1,4.725974983,-129888845.3,-99121276.32,-26896000,0,-3789568.992,-82000,0,Iron and Steel Mills,758.7306047,871.5129218
17,2,SPP_2021_HubAVG.csv,1007695,180,iMSR,1,4.725974983,-61277844.35,-46484735.72,-11985000,-123516,-2614092.624,-70500,0,Iron and Steel Mills,357.947411,411.1548843
18,3,SPP_2021_HubAVG.csv,1007695,180,Microreactor,1,4.725974983,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,44.74879557,51.40052784
19,4,SPP_2021_HubAVG.csv,1007695,180,PBR-HTGR,1,4.725974983,-41193082.69,-29455942.21,-8000000,0,-3697140.48,-40000,0,Iron and Steel Mills,240.6246084,276.392509
20,0,SPP_2021_HubAVG.csv,1006338,220,iPWR,1,1.160037056,-44557333.8,-34345646.35,-8855000,-107923.2,-1210264.255,-38500,0,Petrochemicals,1041.110226,1217.981597
