CITY,STATE,latitude,longitude
East Chicago,IN,41.6397857,-87.4548466
CLEVELAND,OH,41.4996574,-81.6936772
BURNS HARBOR,IN,41.6258708,-87.1333676
MIDDLETOWN,OH,39.516644,-84.4041725
DEARBORN,MI,42.3222599,-83.1763145
ECORSE,MI,42.2444833,-83.145757
GARY,IN,41.6020962,-87.3370646
Braddock,PA,40.4034024,-79.8683824
IRVINE,PA,41.8392258,-79.2683812
TRINITY,AL,34.6067588,-87.0883459
NEW CASTLE,PA,40.9999202,-80.3471856
FAIRFIELD,AL,33.4859402,-86.9119366
GRANITE CITY,IL,38.7014389,-90.1487199
MEMPHIS,TN,35.1460249,-90.0517638
MIDLOTHIAN,TX,32.482361,-96.9944489
BUTLER,PA,40.86108,-79.895197
PUEBLO,CO,38.2544472,-104.609141
READING,PA,40.335345,-75.9279495
BRACKENRIDGE,PA,40.6081221,-79.7411594
CALVERT,AL,31.156541400000002,-88.02031187977161
ROCKPORT,IN,37.8831055,-87.0494408
EAST CHICAGO,IN,41.6397857,-87.4548466
BURNHAM,PA,40.6386823,-77.568605
PEORIA,IL,40.6938609,-89.5891008
PLYMOUTH,UT,41.8754813,-112.1441223
Ghent,KY,38.7375625,-85.0582835
Ashland,KY,38.4784144,-82.6379387
LAPLACE,LA,30.071599300000003,-90.46635890468855
KOPPEL,PA,40.8342305,-80.3222855
Hollsopple,PA,40.2125762,-78.9289137
Fairless Hills,PA,40.178141999999994,-74.85644459402147
CONSHOHOCKEN,PA,40.0792766,-75.3015714
CUYAHOGA HEIGHTS,OH,41.4271001,-81.6414489
PETERSBURG,VA,37.227928,-77.4019268
CHARLOTTE,NC,35.2272086,-80.8430827
Jackson,MI,42.2416466,-84.425589
RANCHO CUCAMONGA,CA,34.1033192,-117.575173
FLOWOOD,MS,32.3092861,-90.1386811
ALTON,IL,38.8908583,-90.1843091
LEECHBURG,PA,40.6271073,-79.6059188
BALDWIN,FL,30.3027384,-81.9753865
COLUMBIA CITY,IN,41.156928,-85.4884616
CRAWFORDSVILLE,IN,40.0401991,-86.8990249
SEGUIN,TX,29.5688411,-97.9647269
JACKSON,TN,35.6144446,-88.8177418
Gary,IN,41.6020962,-87.3370646
Louisville,OH,40.8375307,-81.2595731
HUGER,SC,33.0965591,-79.803412
MUSCATINE,IA,41.4776121,-91.1210053
COFIELD,NC,36.3565436,-76.9099577
MCMINNVILLE,OR,45.2100367,-123.194463
RIVERDALE,IL,41.6333678,-87.6331021
Aurora,MN,47.5298533,-92.2367644
DARLINGTON,SC,34.3609331,-79.9438572
Youngstown,OH,41.1035786,-80.6520161
AXIS,AL,30.9309768,-88.01822496296069
LATROBE,PA,40.317287,-79.3840301
CANTON,OH,40.7985464,-81.3749508
STERLING,IL,41.788253,-89.6953656
Tuscaloosa,AL,33.2095614,-87.5675258
ZANESVILLE,OH,39.9401426,-82.005019
MIDLAND,PA,40.6325655,-80.4464547
WASHINGTON,PA,40.1943798,-80.2541251
Mesa,AZ,33.4151005,-111.831455
AUBURN,NY,42.9320202,-76.5672029
BLYTHEVILLE,AR,35.9288199,-89.9073557
BIRMINGHAM,AL,33.5206824,-86.8024326
HUNTINGTON,WV,38.4192496,-82.445154
MANSFIELD,OH,40.75839,-82.5154471
JEWETT,TX,31.3615664,-96.1441315
